Year,Country (Final Name),Country ID,Country,Type of appeal,Type of Response,Appeal,Required (US$),Funded (US$), Coverage (%) ,Comments,Links
2000,Somalia,SO,Somalia,Appeal,CAP,Somalia 2000,"50,552,783","36,168,801",71.6,Consolidated Inter-agency appeal,https://reliefweb.int/sites/reliefweb.int/files/resources/SOMALIAFINALDOC.pdf
2000,Tajikistan,TJ,Tajikistan,Appeal,CAP,Tajikistan 2000,"34,841,820","27,025,498",77.6,Consolidated Inter-agency appeal,https://reliefweb.int/sites/reliefweb.int/files/resources/tajikfinaldoc.pdf
2000,Tanzania,TZ,"Tanzania, the United Republic of",Appeal,HRP,Tanzania (United Republic of) 2000,"7,945,000","4,110,275",51.7,,
2000,Tanzania,TZ,"Tanzania, the United Republic of",Appeal,RRP,Great Lakes Region and Central Africa 2000,7945000,3658918,46.05,,https://reliefweb.int/sites/reliefweb.int/files/resources/finalgreatlakes.pdf
2000,Uganda,UG,Uganda,Appeal,CAP,Uganda 2000,"27,414,380","17,237,656",62.9,Consolidated Inter-agency appeal,https://reliefweb.int/sites/reliefweb.int/files/resources/FINAL%20UGANDA%20MTR%2018%20JULY%202000.pdf
2000,Uganda,UG,Uganda,Appeal,RRP,Great Lakes Region and Central Africa 2000,27414380,16312656,59.5,,https://reliefweb.int/sites/reliefweb.int/files/resources/finalgreatlakes.pdf
2000,Kosovo,XK,Kosovo,Appeal,CAP,Southeastern Europe 2000,267565194,101644961,37.99,Consolidated Inter-agency appeal,https://reliefweb.int/report/albania/snapshot-consolidated-appeal-southeastern-europe-2000
2001,Afghanistan,AF,Afghanistan,Appeal,CAP,Afghanistan 2001, -   ,"2,053,268", -   ,Consolidated Inter-agency appeal,https://reliefweb.int/report/afghanistan/un-consolidated-inter-agency-appeal-afghanistan-2001
2001,Albania,AL,Albania,Appeal,RRP,Southeastern Europe 2001,18799028,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/albania/un-consolidated-inter-agency-appeal-southeastern-europe-2001
2001,Angola,AO,Angola,Appeal,CAP,Angola 2001,"233,190,355","116,609,636",50,Consolidated Inter-agency appeal,https://reliefweb.int/report/angola/un-consolidated-inter-agency-appeal-angola-2001
2001,Bosnia and Herzegovina,BA,Bosnia and Herzegovina,Appeal,RRP,Southeastern Europe 2001,62071365,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/albania/un-consolidated-inter-agency-appeal-southeastern-europe-2001
2001,Burundi,BI,Burundi,Appeal,CAP,Burundi 2001,"111,497,461","53,333,014",47.8,Consolidated Inter-agency appeal,https://reliefweb.int/report/burundi/un-consolidated-inter-agency-appeal-burundi-2001
2001,Burundi,BI,Burundi,Appeal,RRP,Great Lakes Region and Central Africa 2001,101961638,55552811,54.48,,https://reliefweb.int/report/burundi/un-consolidated-inter-agency-appeal-great-lakes-region-and-central-africa-2001
2001,Democratic Republic of the Congo,CD,Congo (the Democratic Republic of the),Appeal,CAP,Democratic Republic of the Congo 2001,"122,856,090","83,132,706",67.7,Consolidated Inter-agency appeal,https://reliefweb.int/report/democratic-republic-congo/un-consolidated-inter-agency-appeal-democratic-republic-congo-2001
2001,"Congo, Democratic Republic of",CD,Congo (the Democratic Republic of the),Appeal,RRP,Great Lakes Region and Central Africa 2001,122856090,55064235,44.82,,https://reliefweb.int/report/burundi/un-consolidated-inter-agency-appeal-great-lakes-region-and-central-africa-2001
2001,Republic of Congo,CG,Congo (the),Appeal,HRP,Republic of Congo 2001,"32,513,544","12,085,560",37.2,,
2001,Congo,CG,Congo (the),Appeal,RRP,Great Lakes Region and Central Africa 2001,32513544,24500492,75.35,,https://reliefweb.int/report/burundi/un-consolidated-inter-agency-appeal-great-lakes-region-and-central-africa-2001
2001,Eritrea,ER,Eritrea,Appeal,CAP,Eritrea 2001,"133,195,034","79,686,906",59.8,Consolidated Inter-agency appeal,https://reliefweb.int/report/eritrea/consolidated-inter-agency-appeals-process-strategy-paper-eritrea-2001
2001,Ethiopia,ET,Ethiopia,Appeal,CAP,Ethiopia 2001,"250,845,095","102,056,921",40.7,Consolidated Inter-agency appeal,https://reliefweb.int/report/eritrea/un-consolidated-inter-agency-appeal-ethiopia-2001
2001,Guinea,GN,Guinea,Appeal,RRP,West Africa 2001,35641467,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/c%C3%B4te-divoire/un-consolidated-inter-agency-appeal-west-africa-2001
2001,Croatia,HR,Croatia,Appeal,RRP,Southeastern Europe 2001,27292916,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/albania/un-consolidated-inter-agency-appeal-southeastern-europe-2001
2001,Indonesia,ID,Indonesia,Appeal,CAP,Maluku Crisis 2001, -   ,"3,321,314", -   ,Consolidated Inter-agency appeal,https://reliefweb.int/report/indonesia/un-consolidated-inter-agency-appeal-maluku-crisis-2001
2001,Korea (the Democratic People's Republic of),KP,Korea (the Democratic People's Republic of),Appeal,CAP,DPR of Korea 2001,"383,984,914","247,968,452",64.6,Consolidated Inter-agency appeal,https://reliefweb.int/report/democratic-peoples-republic-korea/un-consolidated-inter-agency-appeal-democratic-peoples-0
2001,Liberia,LR,Liberia,Appeal,RRP,West Africa 2001,6276100,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/c%C3%B4te-divoire/un-consolidated-inter-agency-appeal-west-africa-2001
2001,the former Yugoslav Republic of Macedonia,MK,North Macedonia,Appeal,RRP,Southeastern Europe 2001,17251783,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/albania/un-consolidated-inter-agency-appeal-southeastern-europe-2001
2001,Russia,RU,Russian Federation (the),Appeal,RRP,Northern Caucasus (Russian Federation) 2001,42540280,37185824,87.41,Supporting people in need in Chechnya and Ingushetia (both Russian republics),https://reliefweb.int/report/russian-federation/northern-caucasus-humanitarian-action-update-may-2001
2001,Sudan,SD,Sudan (the),Appeal,CAP,Sudan 2001,"251,970,846","155,737,624",61.8,Consolidated Inter-agency appeal,https://reliefweb.int/report/sudan/un-consolidated-inter-agency-appeal-sudan-2001
2001,Sierra Leone,SL,Sierra Leone,Appeal,CAP,Sierra Leone 2001,"74,200,544","59,504,801",80.2,Consolidated Inter-agency appeal,https://reliefweb.int/report/sierra-leone/un-consolidated-inter-agency-appeal-sierra-leone-2001
2001,Sierra Leone,SL,Sierra Leone,Appeal,RRP,West Africa 2001,4269650,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/c%C3%B4te-divoire/un-consolidated-inter-agency-appeal-west-africa-2001
2001,Somalia,SO,Somalia,Appeal,CAP,Somalia 2001,"140,442,999","30,473,727",21.7,Consolidated Inter-agency appeal,https://reliefweb.int/report/somalia/un-consolidated-inter-agency-appeal-somalia-2001
2001,Tajikistan,TJ,Tajikistan,Appeal,CAP,Tajikistan 2001,"77,989,949","58,593,052",75.1,Consolidated Inter-agency appeal,https://reliefweb.int/report/tajikistan/un-consolidated-inter-agency-appeal-tajikistan-2001
2001,Tanzania,TZ,"Tanzania, the United Republic of",Appeal,CAP,Tanzania (United Republic of) 2001,"110,440,557","90,739,758",82.2,Emergency consolidated appeal,https://reliefweb.int/report/united-republic-tanzania/united-nations-emergency-consolidated-appeal-drought-tanzania-2001
2001,Tanzania,TZ,"Tanzania, the United Republic of",Appeal,RRP,Great Lakes Region and Central Africa 2001,110440557,27697572,25.08,,https://reliefweb.int/report/burundi/un-consolidated-inter-agency-appeal-great-lakes-region-and-central-africa-2001
2001,Uganda,UG,Uganda,Appeal,CAP,Uganda 2001,"79,814,162","35,451,595",44.4,Consolidated Inter-agency appeal,https://reliefweb.int/report/uganda/un-consolidated-inter-agency-appeal-uganda-2001
2001,Uganda,UG,Uganda,Appeal,RRP,Great Lakes Region and Central Africa 2001,79814162,45159746,56.58,,https://reliefweb.int/report/burundi/un-consolidated-inter-agency-appeal-great-lakes-region-and-central-africa-2001
2001,Kosovo,XK,Kosovo,Appeal,RRP,Southeastern Europe 2001,119660604,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/albania/un-consolidated-inter-agency-appeal-southeastern-europe-2001
2001,Djibouti,DJ,Djibouti,Other Appeal,Other,Djibouti Drought 2001,"11,218,318", -   , -   ,Inter-agency donor alert,https://reliefweb.int/report/djibouti/un-inter-agency-donor-alert-drought-djibouti-2001
2001,Kenya,KE,Kenya,Other Appeal,Other,Kenya Drought 2001,"182,077,601","114,513,292",62.9,Inter-agency donor alert,https://reliefweb.int/report/kenya/un-inter-agency-donor-alert-drought-kenya-2001
2001,Tanzania,TZ,"Tanzania, the United Republic of",Other Appeal,CAP,Tanzania (United Republic of) Drought 2001,"6,568,545","3,260,379",49.6,Emergency consolidated appeal,https://reliefweb.int/report/united-republic-tanzania/united-nations-emergency-consolidated-appeal-drought-tanzania-2001
2002,Afghanistan,AF,Afghanistan,Appeal,TRP,Afghanistan 2002 (ITAP for the Afghan People),"1,780,509,639","1,196,693,956",67.2,Immediate and Transitional Assistance Programme,https://reliefweb.int/sites/reliefweb.int/files/resources/CF736586916A179CC1256B6F0031E3C0-un-afg-28feb.pdf
2002,Albania,AL,Albania,Appeal,RRP,Southeastern Europe 2002,1514369,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/albania/consolidated-inter-agency-appeal-southeastern-europe-2002
2002,Angola,AO,Angola,Appeal,CAP,Angola 2002,"296,351,345","206,096,952",69.5,Consolidated Inter-agency appeal,https://reliefweb.int/report/angola/consolidated-inter-agency-appeal-angola-2002
2002,Bosnia and Herzegovina,BA,Bosnia and Herzegovina,Appeal,RRP,Southeastern Europe 2002,46586505,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/albania/consolidated-inter-agency-appeal-southeastern-europe-2002
2002,Burundi,BI,Burundi,Appeal,CAP,Burundi 2002,"72,024,582","27,955,869",38.8,Consolidated Inter-agency appeal,https://reliefweb.int/report/burundi/consolidated-inter-agency-appeal-burundi-2002
2002,Burundi,BI,Burundi,Appeal,RRP,Great Lakes Region and Central Africa 2002,71674582,23609215,32.94,,https://reliefweb.int/report/burundi/consolidated-inter-agency-appeal-great-lakes-2002
2002,Democratic Republic of the Congo,CD,Congo (the Democratic Republic of the),Appeal,CAP,Democratic Republic of the Congo 2002,"202,201,192","98,431,642",48.7,Consolidated Inter-agency appeal,https://reliefweb.int/report/democratic-republic-congo/consolidated-inter-agency-appeal-democratic-republic-congo-2002
2002,"Congo, Democratic Republic of",CD,Congo (the Democratic Republic of the),Appeal,RRP,Great Lakes Region and Central Africa 2002,201359504,77939797,38.71,,https://reliefweb.int/report/burundi/consolidated-inter-agency-appeal-great-lakes-2002
2002,Congo,CG,Congo (the),Appeal,RRP,Great Lakes Region and Central Africa 2002,35370982,11576721,32.73,,https://reliefweb.int/report/burundi/consolidated-inter-agency-appeal-great-lakes-2002
2002,Eritrea,ER,Eritrea,Appeal,CAP,Eritrea 2002,"92,343,068","45,792,999",49.6,Consolidated Inter-agency appeal,https://reliefweb.int/report/eritrea/eritrea-consolidated-appeal-2002-launched
2002,Guinea,GN,Guinea,Appeal,CAP,Guinea 2002,"53,002,645","27,936,640",52.7,Consolidated Inter-agency appeal,https://m.reliefweb.int/report/90798
2002,Guinea,GN,Guinea,Appeal,RRP,West Africa 2002,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://reliefweb.int/report/c%C3%B4te-divoire/consolidated-inter-agency-appeal-sierra-leone-2002
2002,Croatia,HR,Croatia,Appeal,RRP,Southeastern Europe 2002,12156003,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/albania/consolidated-inter-agency-appeal-southeastern-europe-2002
2002,Indonesia,ID,Indonesia,Appeal,HRP,Indonesia 2002,"40,823,558","12,850,221",31.5,,
2002,Korea (the Democratic People's Republic of),KP,Korea (the Democratic People's Republic of),Appeal,CAP,DPR of Korea 2002,"246,990,271","220,007,418",89.1,Consolidated Inter-agency appeal,https://reliefweb.int/report/democratic-peoples-republic-korea/consolidated-inter-agency-appeal-democratic-peoples
2002,Liberia,LR,Liberia,Appeal,HRP,Liberia 2002,"15,261,568","4,676,151",30.6,,
2002,Liberia,LR,Liberia,Appeal,RRP,West Africa 2002,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://reliefweb.int/report/c%C3%B4te-divoire/consolidated-inter-agency-appeal-sierra-leone-2002
2002,Lesotho,LS,Lesotho,Appeal,RRP,Humanitarian Crisis in Southern Africa 2002 - LESOTHO,"5,532,050","1,130,382",20.4,Regional Consolidated appeal,https://reliefweb.int/report/lesotho/southern-africa-humanitarian-crisis-situation-report-19-dec-2002
2002,Lesotho,LS,Lesotho,Appeal,RRP,Humanitarian Crisis in Southern Africa 2002 - REGION,5532050,1130382,20.43,,https://reliefweb.int/report/lesotho/southern-africa-humanitarian-crisis-situation-report-19-dec-2002
2002,the former Yugoslav Republic of Macedonia,MK,North Macedonia,Appeal,RRP,Southeastern Europe 2002,41293752,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/albania/consolidated-inter-agency-appeal-southeastern-europe-2002
2002,Malawi,MW,Malawi,Appeal,RRP,Humanitarian Crisis in Southern Africa 2002 - MALAWI,"16,588,010","11,818,820",71.3,Regional Consolidated appeal,https://reliefweb.int/report/lesotho/southern-africa-humanitarian-crisis-situation-report-19-dec-2002
2002,Malawi,MW,Malawi,Appeal,RRP,Humanitarian Crisis in Southern Africa 2002 - REGION,16588010,11818820,71.25,,https://reliefweb.int/report/lesotho/southern-africa-humanitarian-crisis-situation-report-19-dec-2002
2002,Russia,RU,Russian Federation (the),Appeal,RRP,North Caucasus 2002,24203802,18896025,78.07,Supporting people in need in Chechnya and Ingushetia (both Russian republics),https://reliefweb.int/report/russian-federation/consolidated-inter-agency-appeal-north-caucasus-russian-federation-2002
2002,Sudan,SD,Sudan (the),Appeal,CAP,Sudan 2002,"274,581,481","173,500,956",63.2,Consolidated Inter-agency appeal,https://reliefweb.int/report/sudan/consolidated-inter-agency-appeal-sudan-2002
2002,Sierra Leone,SL,Sierra Leone,Appeal,CAP,Sierra Leone 2002,"70,956,633","38,537,868",54.3,Consolidated Inter-agency appeal,https://reliefweb.int/report/sierra-leone/final-report-consolidated-interagency-appeal-sierra-leone-2002
2002,Sierra Leone,SL,Sierra Leone,Appeal,RRP,West Africa 2002,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://reliefweb.int/report/c%C3%B4te-divoire/consolidated-inter-agency-appeal-sierra-leone-2002
2002,Somalia,SO,Somalia,Appeal,CAP,Somalia 2002,"82,591,643","42,962,844",52,Consolidated Inter-agency appeal,https://reliefweb.int/report/somalia/consolidated-inter-agency-appeal-somalia-2002
2002,Swaziland,SZ,Eswatini,Appeal,RRP,Humanitarian Crisis in Southern Africa 2002 - SWAZILAND,"11,292,618","1,989,040",17.6,Regional Consolidated appeal,https://reliefweb.int/report/lesotho/southern-africa-humanitarian-crisis-situation-report-19-dec-2002
2002,Swaziland,SZ,Eswatini,Appeal,RRP,Humanitarian Crisis in Southern Africa 2002 - REGION,11292618,1989040,17.61,,https://reliefweb.int/report/lesotho/southern-africa-humanitarian-crisis-situation-report-19-dec-2002
2002,Tajikistan,TJ,Tajikistan,Appeal,CAP,Tajikistan 2002,"76,556,685","72,545,685",94.8,Consolidated Inter-agency appeal,https://reliefweb.int/report/tajikistan/consolidated-inter-agency-appeal-tajikistan-2002
2002,Uganda,UG,Uganda,Appeal,HRP,Uganda 2002,"68,114,892","42,503,632",62.4,Consolidated Inter-agency appeal,https://reliefweb.int/report/uganda/consolidated-inter-agency-appeal-uganda-2002
2002,Uganda,UG,Uganda,Appeal,RRP,Great Lakes Region and Central Africa 2002,68103410,31397280,46.1,,https://reliefweb.int/report/burundi/consolidated-inter-agency-appeal-great-lakes-2002
2002,Kosovo,XK,Kosovo,Appeal,RRP,Southeastern Europe 2002,28692660,,,Appeal data doesn't show the amount of funding by destination country,https://reliefweb.int/report/albania/consolidated-inter-agency-appeal-southeastern-europe-2002
2002,Zambia,ZM,Zambia,Appeal,RRP,Humanitarian Crisis in Southern Africa 2002 - ZAMBIA,"24,035,873","8,027,151",33.4,Regional Consolidated appeal,https://reliefweb.int/report/lesotho/southern-africa-humanitarian-crisis-situation-report-19-dec-2002
2002,Zambia,ZM,Zambia,Appeal,RRP,Humanitarian Crisis in Southern Africa 2002 - REGION,24035873,8027151,33.4,,https://reliefweb.int/report/lesotho/southern-africa-humanitarian-crisis-situation-report-19-dec-2002
2002,Zimbabwe,ZW,Zimbabwe,Appeal,RRP,Humanitarian Crisis in Southern Africa 2002 - ZIMBABWE,"50,965,458","10,524,273",20.7,Regional Consolidated appeal,https://reliefweb.int/report/lesotho/southern-africa-humanitarian-crisis-situation-report-19-dec-2002
2002,Zimbabwe,ZW,Zimbabwe,Appeal,RRP,Humanitarian Crisis in Southern Africa 2002 - REGION,50965458,10524273,20.65,,https://reliefweb.int/report/lesotho/southern-africa-humanitarian-crisis-situation-report-19-dec-2002
2002,Republic of Congo,CG,Congo (the),Other Appeal,HRP,Republic of Congo 2002,"35,370,982","13,561,981",38.3,,
2002,Indonesia,ID,Indonesia,Other Appeal,JRP,Joint Appeal - Solutions for East Timorese Refugees,43250412,16644761,38.48,,https://reliefweb.int/report/indonesia/joint-appeal-solutions-east-timorese-refugees-jan-dec-2002
2002,Kenya,KE,Kenya,Other Appeal,CAP,Kenya Drought Donor Alert 2002,"59,482,798","19,891,797",33.4,Consolidated Inter-agency appeal,https://reliefweb.int/report/kenya/consolidated-inter-agency-appeal-2002-kenya-donor-alert
2002,Sri Lanka,LK,Sri Lanka,Other Appeal,JRP,Joint Strategy - Returned IDPs in Sri Lanka 2002,"25,066,700","410,000",1.6,JRP,https://reliefweb.int/report/sri-lanka/govt-sri-lanka-un-joint-strategy-meet-immediate-needs-returned-idps
2003,Angola,AO,Angola,Appeal,HRP,Angola 2003,"313,843,200","172,896,415",55.1,,
2003,Burundi,BI,Burundi,Appeal,CAP,Burundi 2003,"71,550,103","31,554,024",44.1,Consolidated Inter-agency appeal,https://reliefweb.int/report/burundi/consolidated-inter-agency-appeal-burundi-2003
2003,Burundi,BI,Burundi,Appeal,RRP,Great Lakes Region and Central Africa 2003,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://reliefweb.int/report/burundi/consolidated-inter-agency-appeal-great-lakes-region-and-central-africa-2003
2003,Democratic Republic of the Congo,CD,Congo (the Democratic Republic of the),Appeal,CAP,Democratic Republic of the Congo 2003,"229,407,473","108,171,010",47.2,Consolidated Inter-agency appeal,https://reliefweb.int/report/democratic-republic-congo/consolidated-inter-agency-appeal-democratic-republic-congo-2003
2003,"Congo, Democratic Republic of",CD,Congo (the Democratic Republic of the),Appeal,RRP,Great Lakes Region and Central Africa 2003,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://reliefweb.int/report/burundi/consolidated-inter-agency-appeal-great-lakes-region-and-central-africa-2003
2003,Central African Republic,CF,Central African Republic (the),Appeal,HRP,Central African Republic  2003,"9,100,864","3,532,483",38.8,,
2003,Côte d’Ivoire,CI,Côte d'Ivoire,Appeal,CAP,Cote d'Ivoire + 5 2003,"90,891,786","49,321,836",54.3,Consolidated Inter-agency appeal,https://reliefweb.int/report/c%C3%B4te-divoire/consolidated-inter-agency-appeal-c%C3%B4te-divoire-plus-five-apr-dec-2003
2003,Côte d'Ivoire,CI,Côte d'Ivoire,Appeal,RRP,Côte d'Ivoire and the West Africa Sub-Region 2002-2003 ,,12063221,,Appeal data doesn't show the amount of requirements by country component,https://reliefweb.int/report/burkina-faso/inter-agency-flash-appeal-c%C3%B4te-divoire-and-west-africa-sub-region-2003
2003,Eritrea,ER,Eritrea,Appeal,CAP,Eritrea 2003,"159,963,824","123,728,759",77.4,Consolidated Inter-agency appeal,https://reliefweb.int/report/eritrea/consolidated-inter-agency-appeal-eritrea-2003
2003,Guinea,GN,Guinea,Appeal,HRP,Guinea 2003,"48,055,663","29,395,560",61.2,,
2003,Indonesia,ID,Indonesia,Appeal,CAP,Indonesia 2003,"55,456,902","30,529,963",55.1,Consolidated Inter-agency appeal,https://reliefweb.int/report/indonesia/consolidated-inter-agency-appeal-indonesia-revised-feb-2003
2003,Iraq,IQ,Iraq,Appeal,CAP,Iraq Crisis 2003,"2,223,143,026","2,019,776,857",90.9,Consolidated Inter-agency appeal,https://reliefweb.int/report/iraq/humanitarian-appeal-iraq-revised-inter-agency-appeal-01-apr-31-dec-2003
2003,Korea (the Democratic People's Republic of),KP,Korea (the Democratic People's Republic of),Appeal,CAP,DPR of Korea 2003,"229,366,712","133,102,979",58,Consolidated Inter-agency appeal,https://reliefweb.int/report/democratic-peoples-republic-korea/consolidated-inter-agency-appeal-democratic-peoples-0
2003,Liberia,LR,Liberia,Appeal,CAP,Liberia 2003,"46,552,537","18,441,002",39.6,Consolidated Inter-agency appeal,https://reliefweb.int/report/liberia/consolidated-inter-agency-appeal-liberia-2003-mid-year-review
2003,Lesotho,LS,Lesotho,Appeal,RRP,Humanitarian Crisis in Southern Africa - LESOTHO (July 2003 - June 2004),"3,661,253","2,308,139",63,Regional Consolidated appeal,https://reliefweb.int/report/lesotho/southern-africa-regional-consolidated-appeal-jul-2003-jun-2004
2003,Lesotho,LS,Lesotho,Appeal,RRP,Humanitarian Crisis in Southern Africa - REGION (July 2003 - June 2004),3661253,2308139,63.04,,https://reliefweb.int/report/lesotho/southern-africa-regional-consolidated-appeal-jul-2003-jun-2004
2003,Malawi,MW,Malawi,Appeal,RRP,Humanitarian Crisis in Southern Africa - MALAWI (July 2003 - June 2004),"10,792,293","2,563,924",23.8,Regional Consolidated appeal,https://reliefweb.int/report/lesotho/southern-africa-regional-consolidated-appeal-jul-2003-jun-2004
2003,Malawi,MW,Malawi,Appeal,RRP,Humanitarian Crisis in Southern Africa - REGION (July 2003 - June 2004),10792293,2563924,23.76,,https://reliefweb.int/report/lesotho/southern-africa-regional-consolidated-appeal-jul-2003-jun-2004
2003,Mozambique,MZ,Mozambique,Appeal,RRP,Humanitarian Crisis in Southern Africa - MOZAMBIQUE (July 2003 - June 2004),"20,060,140","5,296,737",26.4,Regional Consolidated appeal,https://reliefweb.int/report/lesotho/southern-africa-regional-consolidated-appeal-jul-2003-jun-2004
2003,Mozambique,MZ,Mozambique,Appeal,RRP,Humanitarian Crisis in Southern Africa - REGION (July 2003 - June 2004),20060140,5296737,26.4,,https://reliefweb.int/report/lesotho/southern-africa-regional-consolidated-appeal-jul-2003-jun-2004
2003,Palestine,PS,"Palestine, State of",Appeal,HRP,occupied Palestinian territory 2003,"293,774,854","175,863,110",59.9,,
2003,Russia,RU,Russian Federation (the),Appeal,RRP,Chechnya and Neighbouring Republics (RF) 2003,30270494,27562777,91.05,IDPs and Residents in Chechnya and Ingushetia (both Russian republics) were supported by the response.,https://reliefweb.int/report/russian-federation/consolidated-inter-agency-appeal-chechnya-and-neighbouring-republics-0
2003,Rwanda,RW,Rwanda,Appeal,RRP,Great Lakes Region and Central Africa 2003,,,,Appeal data doesn't show the amount of requirements and funding by destination country,https://reliefweb.int/report/burundi/consolidated-inter-agency-appeal-great-lakes-region-and-central-africa-2003
2003,Sudan,SD,Sudan (the),Appeal,CAP,Sudan 2003,"262,967,857","195,426,872",74.3,Consolidated Inter-agency appeal,https://reliefweb.int/report/sudan/consolidated-inter-agency-appeal-sudan-2003-mid-year-review
2003,Sierra Leone,SL,Sierra Leone,Appeal,HRP,Sierra Leone 2003,"125,772,687","120,111,247",95.5,Humanitarian situation report ,https://reliefweb.int/report/liberia/sierra-leone-humanitarian-situation-report-jul-2003
2003,Somalia,SO,Somalia,Appeal,CAP,Somalia 2003,"71,465,950","45,281,680",63.4,Consolidated Inter-agency appeal,https://reliefweb.int/report/somalia/consolidated-inter-agency-appeal-somalia-2003-mid-year-review
2003,Swaziland,SZ,Eswatini,Appeal,RRP,Humanitarian Crisis in Southern Africa - SWAZILAND (July 2003 - June 2004),"5,934,238","2,794,790",47.1,Regional Consolidated appeal,https://reliefweb.int/report/lesotho/southern-africa-regional-consolidated-appeal-jul-2003-jun-2004
