Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Notes
OECD Env-Growth,SSP2,ARE,GDP|PPP,billion US$2005/yr,318.142,441.163,539.009,649.478,770.483,888.156,1003.909,1109.02,1201.108,1290.481,1388.918,1484.081,1572.36,1648.4,1712.851,1764.958,1806.866,1837.584,1855.778,
OECD Env-Growth,SSP3,ARE,GDP|PPP,billion US$2005/yr,318.142,429.134,513.489,603.066,701.429,795.596,878.513,936.512,965.922,979.309,993.306,1003.871,1013.838,1023.21,1031.918,1040.872,1050.732,1059.303,1065.177,
OECD Env-Growth,SSP4,ARE,GDP|PPP,billion US$2005/yr,318.142,440.399,537.896,654.542,796.523,950.06,1099.313,1226.618,1324.841,1404.318,1482.263,1548.231,1601.502,1638.559,1662.241,1672.72,1673.394,1663.635,1640.712,
OECD Env-Growth,SSP5,ARE,GDP|PPP,billion US$2005/yr,318.142,453.516,567.148,720.458,921.726,1160.236,1414.17,1658.828,1875.453,2073.427,2269.341,2449.734,2606.055,2727.411,2826.731,2907.985,2972.88,3018.047,3029.692,
IIASA GDP,SSP1,ARG,GDP|PPP,billion US$2005/yr,489.32017204774,604.744457673381,743.705748107081,873.336687992063,994.370331823517,1124.13946936538,1262.47141896016,1399.39816037931,1523.71578710948,1640.94787178066,1756.76576252435,1873.05845623925,1988.29608069958,2099.11324029238,2201.74239238672,2289.23741924129,2359.12171303011,2410.07267200305,2442.30805534677,
IIASA GDP,SSP2,ARG,GDP|PPP,billion US$2005/yr,489.32017204774,604.213379392062,734.723338782459,854.340714729104,970.644118536739,1085.93753956099,1200.779752643,1330.99893464062,1471.76037485748,1614.31884504537,1754.9712273235,1897.83147666044,2044.59175885224,2193.32760212736,2341.41380683001,2487.76034326372,2632.52446342351,2774.99236473615,2915.6471202294,
IIASA GDP,SSP3,ARG,GDP|PPP,billion US$2005/yr,489.32017204774,600.919006235962,717.147575422759,817.537062149279,916.123818449628,1019.08770062745,1125.24732316268,1229.16353367815,1326.12168972836,1420.40273262593,1517.60014038804,1622.45940487316,1736.65125165992,1857.91584585348,1983.69314500487,2113.98310054116,2253.87860980165,2406.9860856725,2576.15842763755,
IIASA GDP,SSP4,ARG,GDP|PPP,billion US$2005/yr,489.32017204774,595.911130366298,698.544613858814,773.732262362589,834.301686380873,887.96668596987,936.542947469175,976.486943702119,1004.40252054354,1022.81680724531,1035.55428151499,1045.12184677958,1052.23099208661,1055.33486023952,1054.94385217199,1051.28363775552,1045.6089169869,1038.3451656798,1028.45029886609,
IIASA GDP,SSP5,ARG,GDP|PPP,billion US$2005/yr,489.32017204774,605.143279778015,747.864433713572,887.483914455458,1026.36210469368,1182.52682880016,1355.01182460723,1533.4466561699,1715.59656813574,1906.96114606829,2110.80010559496,2324.4205086553,2544.64540755458,2766.29576205945,2983.47729458141,3185.39882635827,3366.92691986564,3524.37166083457,3656.13866861904,
OECD Env-Growth,SSP1,ARG,GDP|PPP,billion US$2005/yr,580.427,715.981,861.408,1034.757,1234.956,1460.154,1689.617,1908.124,2112.17,2302.356,2478.593,2639.011,2778.376,2890.058,2983.801,3057.448,3111.058,3144.994,3156.007,
OECD Env-Growth,SSP2,ARG,GDP|PPP,billion US$2005/yr,580.427,719.037,867.442,1027.986,1198.221,1375.798,1553.995,1730.236,1911.358,2098.052,2288.136,2480.415,2671.43,2857.556,3041.834,3225.979,3411.146,3595.48,3776.697,
OECD Env-Growth,SSP3,ARG,GDP|PPP,billion US$2005/yr,580.427,722.739,875.897,1021.622,1153.872,1270.473,1374.993,1468.189,1561.54,1657.061,1758.348,1867.923,1985.303,2107.248,2230.872,2354.428,2479.787,2607.622,2739.687,
OECD Env-Growth,SSP4,ARG,GDP|PPP,billion US$2005/yr,580.427,716.973,859.903,1005.794,1157.428,1308.585,1449.039,1574.7,1696.619,1815.593,1929.638,2034.408,2126.183,2203.074,2272.093,2335.105,2394.713,2451.25,2501.379,
OECD Env-Growth,SSP5,ARG,GDP|PPP,billion US$2005/yr,580.427,715.355,861.04,1051.834,1300.414,1599.623,1910.408,2217.79,2519.476,2818.433,3115.023,3408.138,3688.78,3947.501,4196.29,4431.179,4650.812,4853.981,5032.978,
IIASA GDP,SSP1,ARM,GDP|PPP,billion US$2005/yr,15.94963687201,26.3142077709689,39.79540476883,56.4903830472158,69.8498088997537,77.4391988449933,80.3316948665264,80.6537564806988,80.1742013770899,79.9430479959313,80.2876657628062,81.2225590994782,82.5932774992664,84.1968407745605,85.7443797835662,86.969316633525,87.7236005722766,87.8869484716903,87.7951265124015,
IIASA GDP,SSP2,ARM,GDP|PPP,billion US$2005/yr,15.94963687201,26.4870996209807,39.845097827243,55.7893901658965,68.1901433868694,75.5933255027203,79.2809206090336,80.8938162070628,81.5000927573915,81.959343571277,82.7243752676656,84.0169472713327,85.7343039581364,87.6991829295587,89.7594934592627,91.9253577526938,94.3517376886302,97.2221658283049,100.686357607359,
IIASA GDP,SSP3,ARM,GDP|PPP,billion US$2005/yr,15.94963687201,26.5913881121542,40.2110148264052,56.7248235888013,69.9456785333869,78.3679152826358,83.2875359791126,86.4194173462378,88.8267456663656,91.1641364597375,93.8434753245402,97.1831666586434,101.220474448308,105.930763704493,111.296098368032,117.432840280347,124.514147490763,132.686101314832,141.996310470489,
IIASA GDP,SSP4,ARM,GDP|PPP,billion US$2005/yr,15.94963687201,26.3648969319789,39.0357790839482,53.1387096949024,62.578881569701,66.6906453341664,67.3469215337271,66.3322702690107,64.5533972852335,62.6033733729938,60.7707330203273,59.2365506200035,57.9098714224425,56.6806060101551,55.4803592026242,54.3318483348355,53.3166166839828,52.4944036666139,51.8990768354405,
IIASA GDP,SSP5,ARM,GDP|PPP,billion US$2005/yr,15.94963687201,26.2748179817395,39.6900735399427,56.3370090801163,69.8880433233648,77.9418962910968,81.3920944288686,82.7661781604614,83.6958494832323,85.0322433027218,86.8582580488153,89.2505266302266,92.1413884013736,95.3778312081593,98.6229196259337,101.536967741292,103.943656128742,105.742746110412,107.434238295581,
OECD Env-Growth,SSP1,ARM,GDP|PPP,billion US$2005/yr,15.153,18.149,21.519,25.88,31.593,38.44,45.427,51.782,57.013,61.218,65.011,68.784,71.565,73.228,74.461,75.361,76.099,76.478,76.396,
OECD Env-Growth,SSP2,ARM,GDP|PPP,billion US$2005/yr,15.153,18.2,21.524,25.1,28.975,32.972,36.923,40.518,43.626,46.431,49.39,52.773,55.94,58.812,61.741,64.848,68.258,71.924,75.794,
OECD Env-Growth,SSP3,ARM,GDP|PPP,billion US$2005/yr,15.153,18.322,21.858,25.354,28.684,31.6,34.267,36.5,38.275,39.851,41.691,44.006,46.334,48.659,51.161,53.896,57.008,60.466,64.247,
OECD Env-Growth,SSP4,ARM,GDP|PPP,billion US$2005/yr,15.153,18.138,21.342,24.791,28.709,32.851,36.904,40.486,43.445,45.979,48.572,51.389,53.691,55.36,56.84,58.215,59.644,61.077,62.371,
OECD Env-Growth,SSP5,ARM,GDP|PPP,billion US$2005/yr,15.153,18.067,21.351,26.147,32.992,41.514,50.073,57.8,64.172,69.381,74.15,79.022,82.883,85.603,87.95,90.056,92.332,94.607,96.688,
IIASA GDP,SSP1,AUS,GDP|PPP,billion US$2005/yr,877.882882969474,1121.24529166478,1365.60870662209,1650.0184834415,1945.70195576638,2244.95646290197,2543.1561884627,2838.90719656316,3129.86075457575,3419.41732671253,3711.26239227135,3999.48736137703,4275.01405495937,4532.64705648174,4765.79423840944,4971.86767638606,5146.09099991428,5291.9758558627,5418.62444517378,
IIASA GDP,SSP2,AUS,GDP|PPP,billion US$2005/yr,877.882882969474,1123.59170967742,1369.26583200668,1649.35347243402,1932.08081193102,2210.57677632355,2482.44389942532,2748.5080931753,3007.53370326354,3263.18313608648,3518.12562992022,3768.12179171824,4007.49546725115,4232.12599398125,4438.63911846167,4625.94927455007,4790.73368990679,4931.20693258258,5049.74475907258,
IIASA GDP,SSP3,AUS,GDP|PPP,billion US$2005/yr,877.882882969474,1041.66693125538,1121.90083145236,1177.76667890928,1229.00051085653,1284.45636992337,1346.17377168557,1411.2142107167,1474.47837566382,1534.13315870586,1589.20195110455,1638.26471189738,1680.67101639286,1714.55509336025,1738.09919849426,1751.21410305717,1755.25281280157,1752.00306322007,1741.73339751993,
IIASA GDP,SSP4,AUS,GDP|PPP,billion US$2005/yr,877.882882969474,1126.31740045092,1375.05712628446,1654.49910235817,1926.25731259842,2183.47438397113,2428.04297135768,2663.93090790406,2890.11072005964,3109.4024958711,3322.77494910359,3525.21164929785,3712.9836701359,3881.44054666971,4025.4499754398,4141.84587917826,4226.8382538302,4278.89971470309,4302.04070737314,
IIASA GDP,SSP5,AUS,GDP|PPP,billion US$2005/yr,877.882882969474,1129.09732578229,1402.50348138988,1753.17529966915,2159.53117024882,2612.25333375239,3102.82049955074,3630.29926865838,4193.06554622633,4795.89416871853,5447.13905261013,6141.65257973801,6864.27580785462,7605.08202555346,8354.44214307614,9107.25337389305,9855.34861392755,10601.5716711202,11356.6618519767,
OECD Env-Growth,SSP1,AUS,GDP|PPP,billion US$2005/yr,795.588,941.64,1114.003,1293.923,1490.87,1710.424,1946.39,2196.838,2444.276,2694.125,2962.466,3242.255,3523.682,3793.235,4048.735,4283.508,4501.05,4706.377,4898.409,
OECD Env-Growth,SSP2,AUS,GDP|PPP,billion US$2005/yr,795.588,940.674,1109.603,1274.292,1435.039,1596.706,1767.154,1949.398,2131.336,2318.113,2523.602,2742.497,2968.971,3192.857,3413.913,3627.772,3837.011,4044.011,4248.259,
OECD Env-Growth,SSP3,AUS,GDP|PPP,billion US$2005/yr,795.588,929.586,1073.369,1195.437,1295.774,1379.623,1451.781,1514.677,1559.26,1592.706,1628.336,1662.858,1690.575,1705.284,1711.007,1708.793,1704.074,1699.667,1691.013,
OECD Env-Growth,SSP4,AUS,GDP|PPP,billion US$2005/yr,795.588,938.34,1103.883,1277.105,1465.843,1674.947,1896.913,2131.048,2362.085,2593.891,2843.17,3101.158,3357.461,3598.015,3825.522,4033.44,4224.578,4400.543,4554.574,
OECD Env-Growth,SSP5,AUS,GDP|PPP,billion US$2005/yr,795.588,951.972,1148.951,1382.729,1673.625,2026.663,2432.613,2895.921,3400.799,3958.784,4598.989,5321.88,6127.258,7002.118,7932.694,8912.046,9945.441,11044.245,12219.904,
IIASA GDP,SSP1,AUT,GDP|PPP,billion US$2005/yr,307.168864771617,329.640160124917,343.582644716642,358.829407179876,378.591221358432,402.897203606079,431.526113551222,463.359697813254,497.187752957245,532.036950287966,567.340925128289,601.611327704744,633.339251461215,662.473452087878,690.161560285879,716.066685710354,738.958143199832,759.071922570284,777.481977972848,
IIASA GDP,SSP2,AUT,GDP|PPP,billion US$2005/yr,307.168864771617,329.665438792428,342.729329722231,355.819281950359,372.005056880909,391.359961729142,413.828915017028,438.534872188883,464.486810819031,490.723607396095,516.783946801809,541.870658689228,565.734403381215,588.531898570302,610.547730151358,631.615254238548,651.210455893057,669.197341160703,685.416929222507,
IIASA GDP,SSP3,AUT,GDP|PPP,billion US$2005/yr,307.168864771617,322.970143783478,323.767325950894,321.331199004097,321.175638535261,323.714427401966,328.7033766522,334.838913906324,340.935079615804,346.063185623132,349.809304838176,352.05073746801,353.246065468773,353.466098791101,352.509264029429,350.169929570799,346.602389979128,342.100339660967,336.880846138467,
IIASA GDP,SSP4,AUT,GDP|PPP,billion US$2005/yr,307.168864771617,330.245809416306,343.793840820273,356.693799541807,370.922583851282,386.734389504199,404.60305961542,424.093739896561,444.339688016016,464.414422485176,483.514820696249,500.493454539534,515.156358902369,527.541292655329,537.760445702647,545.456011899353,550.097564236878,551.549483533662,549.79128247529,
IIASA GDP,SSP5,AUT,GDP|PPP,billion US$2005/yr,307.168864771617,331.024337951325,349.731805759065,374.646502661367,409.653163762183,454.84393249965,510.209215250484,575.196365454888,648.991015888614,731.027445095965,821.499307310735,918.951799878751,1020.9053603916,1126.71808919549,1237.71335082474,1353.6568468538,1473.03093353685,1596.26917012357,1725.08236102474,
OECD Env-Growth,SSP1,AUT,GDP|PPP,billion US$2005/yr,296.85,330.984,363.264,395.57,430.982,470.041,511.749,553.608,592.157,629.058,665.734,702.56,737.489,770.436,800.94,827.506,850.606,871.116,889.725,
OECD Env-Growth,SSP2,AUT,GDP|PPP,billion US$2005/yr,296.85,330.499,361.062,389.709,418.795,450.296,486.079,524.178,561.294,598.484,636.665,676.178,715.637,754.746,792.451,828.14,861.982,894.444,925.629,
OECD Env-Growth,SSP3,AUT,GDP|PPP,billion US$2005/yr,296.85,328.133,352.898,372.269,387.705,400.748,413.397,423.658,428.8,430.604,430.299,428.908,425.113,418.946,410.697,400.494,389.312,377.777,365.453,
OECD Env-Growth,SSP4,AUT,GDP|PPP,billion US$2005/yr,296.85,329.765,359.348,390.132,423.521,459.397,496.695,533.155,565.477,595.381,624.32,652.364,677.565,699.586,718.644,734.113,746.75,756.968,763.694,
OECD Env-Growth,SSP5,AUT,GDP|PPP,billion US$2005/yr,296.85,332.741,369.241,412.933,467.186,531.481,603.857,683.621,768.156,859.884,961.394,1073.316,1194.527,1325.496,1464.119,1607.837,1756.827,1912.712,2079.105,
IIASA GDP,SSP1,AZE,GDP|PPP,billion US$2005/yr,79.2481206556024,186.725962498452,286.189998586561,327.420039629544,343.06635839841,352.178934230757,366.82802239383,385.607633238459,406.733586281832,425.064523770229,441.860348653707,450.883107770929,452.629665965907,447.729572727347,438.549103048254,429.899380782159,424.672719244555,423.399753693958,425.120334215554,
IIASA GDP,SSP2,AZE,GDP|PPP,billion US$2005/yr,79.2481206556024,192.086075571724,298.792843817957,342.624619039313,356.719559117751,365.313452807174,381.758273154648,404.484282891087,431.297481611836,454.451671311434,475.311661634371,487.885641950509,493.165800613398,491.743660610215,486.186569478562,482.288747173643,483.828889482299,491.731026018956,504.120889808096,
IIASA GDP,SSP3,AZE,GDP|PPP,billion US$2005/yr,79.2481206556024,186.988142387169,286.09871379002,326.871732372116,342.732280017597,353.429011870187,371.497482395208,395.967815660666,425.281812193103,452.108609289245,476.909425292111,493.362012655789,502.835231364651,507.053406897955,509.255531473235,515.489718612324,529.362280542472,551.707082364185,580.767525602529,
IIASA GDP,SSP4,AZE,GDP|PPP,billion US$2005/yr,79.2481206556024,190.879769202799,291.053149485375,323.082334902043,322.596105312782,315.516500694885,314.233774664908,316.969375044616,321.318601984535,321.863804138894,320.340076392206,313.612086205061,303.089215985657,289.347231234412,273.994462060927,260.274124276268,249.972638573212,243.084297379711,238.215480114182,
IIASA GDP,SSP5,AZE,GDP|PPP,billion US$2005/yr,79.2481206556024,187.063271163929,288.675965065833,334.608299666737,357.172903417632,374.869794038418,399.9652676063,431.037839324841,466.293005878673,497.96161684313,528.874656422677,552.61893542964,570.013027648109,580.685149048868,586.542218388664,593.251267262875,604.631601853147,621.62566315282,643.171586799392,
OECD Env-Growth,SSP1,AZE,GDP|PPP,billion US$2005/yr,80.696,91.32,105.154,115.497,128.874,139.459,152.748,167.935,182.697,198.241,217.841,243.198,269.518,291.501,311.407,329.959,348.387,365.686,379.716,
OECD Env-Growth,SSP2,AZE,GDP|PPP,billion US$2005/yr,80.696,91.709,105.753,115.758,126.205,130.776,136.835,145.29,155.347,167.574,183.726,204.609,227.308,248.932,271.156,295.178,322.319,351.795,381.645,
OECD Env-Growth,SSP3,AZE,GDP|PPP,billion US$2005/yr,80.696,91.911,106.293,116.689,126.925,129.49,129.773,129.201,128.432,129.236,133.254,140.665,149.281,157.851,167.466,178.634,192.266,208.018,225.244,
OECD Env-Growth,SSP4,AZE,GDP|PPP,billion US$2005/yr,80.696,91.286,104.768,115.264,127.455,134.308,140.598,147.564,155.376,165.322,179.089,196.746,214.938,230.412,245.205,260.245,276.671,293.622,309.124,
OECD Env-Growth,SSP5,AZE,GDP|PPP,billion US$2005/yr,80.696,91.408,105.389,118.894,138.677,158.282,181.027,207.344,236.065,268.942,309.727,360.25,413.75,462.83,510.867,559.524,610.963,663.636,713.869,
IIASA GDP,SSP1,BDI,GDP|PPP,billion US$2005/yr,3.50070278662859,4.20775262242158,6.01192595971574,8.42830118338502,11.2131751645329,14.4858414945648,18.4387039200084,23.3695930327619,29.8984980028214,38.6840093292355,50.4867131641953,65.7665227694102,84.4737707174112,105.767801109229,128.581612246407,151.959040064849,175.379499638018,202.816865222754,232.730705527082,
IIASA GDP,SSP2,BDI,GDP|PPP,billion US$2005/yr,3.50070278662859,3.97631833471558,5.360982614562,7.08142964952871,8.92707285736851,10.8400136627817,12.8577827389008,15.0775759272159,17.7733353209051,21.2179925332747,25.6738125765415,31.2633113678443,38.0734925514158,46.1045511343198,55.3708011427482,66.0224175324855,78.3708859632863,92.6591526022202,108.775326811543,
IIASA GDP,SSP3,BDI,GDP|PPP,billion US$2005/yr,3.50070278662859,3.80366762406535,4.81071989183833,5.83798073141989,6.70216778132885,7.34342641871619,7.82251338809309,8.20382974721791,8.60371419982911,9.09778996220623,9.70879155987426,10.3973540388046,11.1054612787526,11.8025698047336,12.463053582344,13.0960909011585,13.7229832640372,14.3493059957466,14.9726995112035,
IIASA GDP,SSP4,BDI,GDP|PPP,billion US$2005/yr,3.50070278662859,3.80744448575024,4.90531879322988,6.18900301597011,7.51617548274433,8.79589645791668,10.0643967878002,11.3657934087115,12.8550966248852,14.6729762688646,16.9326374319858,19.6199266130446,22.6526481014225,25.9638642558288,29.4994496256699,33.2630127914716,37.301393687294,41.6316389839105,46.2552825995498,
IIASA GDP,SSP5,BDI,GDP|PPP,billion US$2005/yr,3.50070278662859,4.23644485126485,6.2104462990718,9.13866624758842,12.9680026453408,17.988271159512,24.6109681909356,33.4769518332021,45.8147924920216,63.1327123737392,87.2976180080109,119.762360363898,160.964773564337,209.513039072204,262.846955961545,318.685380531016,375.563830695432,441.923411054571,514.391849166759,
OECD Env-Growth,SSP1,BDI,GDP|PPP,billion US$2005/yr,4.389,5.719,7.98,11.816,18.515,29.747,47.267,72.754,107.592,153.043,210.398,279.757,359.927,447.73,540.111,634.341,728.929,822.664,911.779,
OECD Env-Growth,SSP2,BDI,GDP|PPP,billion US$2005/yr,4.389,5.761,8.01,11.189,15.805,22.228,31.322,43.744,60.196,81.673,109.477,144.579,187.89,239.53,299.3,367.433,444.559,530.695,624.595,
OECD Env-Growth,SSP3,BDI,GDP|PPP,billion US$2005/yr,4.389,5.752,7.89,10.354,13.361,16.706,20.793,25.616,31.144,37.53,45.023,53.76,63.748,74.944,87.09,100.117,114.172,129.224,145.205,
OECD Env-Growth,SSP4,BDI,GDP|PPP,billion US$2005/yr,4.389,5.791,8.006,10.527,13.436,16.339,19.655,23.329,27.285,31.593,36.369,41.583,47.182,53.086,59.104,65.183,71.408,77.785,84.342,
OECD Env-Growth,SSP5,BDI,GDP|PPP,billion US$2005/yr,4.389,5.756,8.176,12.765,21.728,38.13,64.933,105.418,162.479,239.004,338.241,461.639,608.61,775.194,956.623,1149.958,1353.348,1565.263,1778.815,
IIASA GDP,SSP1,BEL,GDP|PPP,billion US$2005/yr,360.57348425009,424.199579356661,509.930346645735,623.637624119715,744.251406714798,863.076938763253,975.850904399043,1082.18651047684,1183.32716307712,1281.9727250836,1380.80577971274,1479.94939274217,1577.54599037761,1672.71376089267,1766.14058508235,1858.51226653565,1947.69786766144,2032.93521295732,2114.29327360138,
IIASA GDP,SSP2,BEL,GDP|PPP,billion US$2005/yr,360.57348425009,424.895333722147,510.393903705865,620.648002996737,733.256553026255,840.009424305323,937.77390951861,1026.82477894083,1108.99626747052,1187.27528736602,1264.38822681563,1340.73904240337,1416.21914652747,1491.02272872256,1565.53506785874,1639.87463995962,1713.60345095754,1786.0946319755,1855.17057499622,
IIASA GDP,SSP3,BEL,GDP|PPP,billion US$2005/yr,360.57348425009,380.477260154444,384.151796200678,388.606303036882,397.132863640574,409.136898267385,423.313869534849,437.804379971463,451.300928758003,463.629094017378,474.981998080293,485.252078955978,494.497319585066,502.406129862769,508.779392991634,513.525533010371,516.724380025091,518.252426162375,517.828325090558,
IIASA GDP,SSP4,BEL,GDP|PPP,billion US$2005/yr,360.57348425009,426.41727937834,513.756048935018,624.207254544109,732.061391968404,829.09999247019,913.983594122215,988.205655812251,1053.67875214049,1113.12264377475,1168.64188785729,1219.96231259271,1267.00251325453,1309.05439299064,1345.51462340989,1375.9923967482,1400.58931946978,1419.17334048374,1429.93328685284,
IIASA GDP,SSP5,BEL,GDP|PPP,billion US$2005/yr,360.57348425009,426.047673669243,518.070123860068,646.208307068431,792.028894368859,947.148436587917,1106.30537955837,1268.5554094525,1434.71834766208,1608.17068258872,1793.54022760628,1992.44487131499,2202.41880469549,2421.94083382259,2651.62531813338,2892.99849930105,3144.9425006116,3408.37961605811,3685.10426161881,
OECD Env-Growth,SSP1,BEL,GDP|PPP,billion US$2005/yr,357.666,386.55,420.166,461.282,511.964,570.807,633.155,694.686,754.294,814.612,877.634,942.284,1005.427,1066.456,1126.023,1183.786,1239.182,1292.555,1343.68,
OECD Env-Growth,SSP2,BEL,GDP|PPP,billion US$2005/yr,357.666,385.894,418.201,456.962,502.917,555.813,613.192,671.95,731.121,792.525,857.522,924.727,991.932,1058.691,1125.45,1192.173,1259.224,1326.701,1393.085,
OECD Env-Growth,SSP3,BEL,GDP|PPP,billion US$2005/yr,357.666,382.904,409.444,436.363,464.168,491.664,516.515,535.995,549.873,560.723,570.205,577.541,580.515,579.405,576.062,570.708,564.153,556.402,546.435,
OECD Env-Growth,SSP4,BEL,GDP|PPP,billion US$2005/yr,357.666,384.764,415.211,453.149,499.519,551.823,605.236,656.391,704.421,751.732,799.837,846.512,888.444,925.292,959.043,989.879,1018.567,1044.825,1065.829,
OECD Env-Growth,SSP5,BEL,GDP|PPP,billion US$2005/yr,357.666,388.798,427.678,480.985,551.859,638.749,737.048,844.77,962.452,1094.566,1245.269,1414.614,1601.083,1805.259,2027.303,2267.35,2524.768,2801.814,3102.274,
IIASA GDP,SSP1,BEN,GDP|PPP,billion US$2005/yr,9.81190984503967,11.9638883658553,15.0715366748488,19.7037513895516,25.7823443243276,33.755232161128,44.0815104711522,57.4574767230321,74.496314328532,95.30402706219,119.829783356036,147.956595207786,179.476333228331,213.635522529115,252.930892317175,296.453451116962,341.805687788531,385.261757611228,424.763932510574,
IIASA GDP,SSP2,BEN,GDP|PPP,billion US$2005/yr,9.81190984503967,11.6359449766478,14.063306763809,17.4456407496932,21.6151479625491,26.6553341956098,32.6763416106731,39.9674598221933,48.804162189343,59.2406539586711,71.4026467495557,85.4825285227752,101.702764642252,120.280143710716,141.543513775947,165.736249533111,193.091082035667,223.700624587217,257.558840843423,
