Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Notes
OECD Env-Growth,SSP4,ABW,Population,million,0.107,0.118,0.124,0.13,0.135,0.139,0.142,0.145,0.147,0.148,0.148,0.148,0.147,0.144,0.14,0.136,0.131,0.125,0.118,
OECD Env-Growth,SSP5,ABW,Population,million,0.107,0.119,0.127,0.136,0.143,0.15,0.157,0.162,0.166,0.169,0.17,0.171,0.17,0.168,0.164,0.159,0.152,0.144,0.135,
IIASA GDP,SSP1,AFG,Population,million,31.4117428958219,35.3522337880141,39.5348997938729,43.7194113814778,47.6742080093678,51.4892192876911,55.0012176934179,58.0819924571066,60.6795999634313,62.8455607813729,64.5567972276643,65.9287182511474,66.9403304230776,67.5688826942556,67.8241282871741,67.71515595938,67.2606334010095,66.4749706834778,65.3774020057128,
IIASA GDP,SSP2,AFG,Population,million,31.4117428958219,35.7540762313576,40.6021416846527,45.9423795587386,51.6893599873057,57.6394149939242,63.5987549772833,69.4692197692237,75.1619575629279,80.6429160835296,85.8215615326146,90.6883174817266,95.120750514315,99.1926873591953,102.899386050551,106.175883770231,108.980287078235,111.262855865056,113.085978444274,
IIASA GDP,SSP3,AFG,Population,million,31.4117428958219,36.1044655808064,41.886103120335,48.6740248204814,56.289664267108,64.3217383483467,72.8272596956331,81.9176119338538,91.5791613669729,101.423865174878,111.268332564851,121.021072552581,130.670119693058,140.241071913832,149.558097656874,158.566168181557,167.053735297923,174.906445575817,181.925509743942,
IIASA GDP,SSP4,AFG,Population,million,31.4117428958219,36.0220214540878,41.5996171585149,48.0105266916272,55.1530978231889,62.642254078101,70.5445714069551,78.9535157446274,87.8313014445336,96.7951562243088,105.684614236253,114.520395076823,123.323513250531,132.125595383476,140.760358036629,149.174628237061,157.180777848442,164.686315668133,171.515116664454,
IIASA GDP,SSP5,AFG,Population,million,31.4117428958219,35.2694189140994,39.247468645911,43.069267918306,46.5939932028715,49.9242594490365,52.8742226052386,55.3050078549477,57.1785688842225,58.5685098771791,59.4736923636212,60.1043728911695,60.4567845855886,60.5276256992735,60.347245688254,59.941171871527,59.3353482931231,58.5464092112544,57.5942294787055,
IIASA-WiC POP,SSP1,AFG,Population,million,31.4117428958219,35.3522337880141,39.5348997938729,43.7194113814778,47.6742080093678,51.4892192876911,55.0012176934179,58.0819924571066,60.6795999634313,62.8455607813729,64.5567972276643,65.9287182511474,66.9403304230776,67.5688826942556,67.8241282871741,67.71515595938,67.2606334010095,66.4749706834778,65.3774020057128,
IIASA-WiC POP,SSP2,AFG,Population,million,31.4117428958219,35.7540762313576,40.6021416846527,45.9423795587386,51.6893599873057,57.6394149939242,63.5987549772833,69.4692197692237,75.1619575629279,80.6429160835296,85.8215615326146,90.6883174817266,95.120750514315,99.1926873591953,102.899386050551,106.175883770231,108.980287078235,111.262855865056,113.085978444274,
IIASA-WiC POP,SSP3,AFG,Population,million,31.4117428958219,36.1044655808064,41.886103120335,48.6740248204814,56.289664267108,64.3217383483467,72.8272596956331,81.9176119338538,91.5791613669729,101.423865174878,111.268332564851,121.021072552581,130.670119693058,140.241071913832,149.558097656874,158.566168181557,167.053735297923,174.906445575817,181.925509743942,
IIASA-WiC POP,SSP4,AFG,Population,million,31.4117428958219,36.0220214540878,41.5996171585149,48.0105266916272,55.1530978231889,62.642254078101,70.5445714069551,78.9535157446274,87.8313014445336,96.7951562243088,105.684614236253,114.520395076823,123.323513250531,132.125595383476,140.760358036629,149.174628237061,157.180777848442,164.686315668133,171.515116664454,
IIASA-WiC POP,SSP5,AFG,Population,million,31.4117428958219,35.2694189140994,39.247468645911,43.069267918306,46.5939932028715,49.9242594490365,52.8742226052386,55.3050078549477,57.1785688842225,58.5685098771791,59.4736923636212,60.1043728911695,60.4567845855886,60.5276256992735,60.347245688254,59.941171871527,59.3353482931231,58.5464092112544,57.5942294787055,
NCAR,SSP1,AFG,Population,million,31.4117428958219,35.3522337880141,39.5348997938729,43.7194113814778,47.6742080093678,51.4892192876911,55.0012176934179,58.0819924571066,60.6795999634313,62.8455607813729,64.5567972276643,65.9287182511474,66.9403304230776,67.5688826942556,67.8241282871741,67.71515595938,67.2606334010095,66.4749706834778,65.3774020057128,
NCAR,SSP2,AFG,Population,million,31.4117428958219,35.7540762313576,40.6021416846527,45.9423795587386,51.6893599873057,57.6394149939242,63.5987549772833,69.4692197692237,75.1619575629279,80.6429160835296,85.8215615326146,90.6883174817266,95.120750514315,99.1926873591953,102.899386050551,106.175883770231,108.980287078235,111.262855865056,113.085978444274,
NCAR,SSP3,AFG,Population,million,31.4117428958219,36.1044655808064,41.886103120335,48.6740248204814,56.289664267108,64.3217383483467,72.8272596956331,81.9176119338538,91.5791613669729,101.423865174878,111.268332564851,121.021072552581,130.670119693058,140.241071913832,149.558097656874,158.566168181557,167.053735297923,174.906445575817,181.925509743942,
NCAR,SSP4,AFG,Population,million,31.4117428958219,36.0220214540878,41.5996171585149,48.0105266916272,55.1530978231889,62.642254078101,70.5445714069551,78.9535157446274,87.8313014445336,96.7951562243088,105.684614236253,114.520395076823,123.323513250531,132.125595383476,140.760358036629,149.174628237061,157.180777848442,164.686315668133,171.515116664454,
NCAR,SSP5,AFG,Population,million,31.4117428958219,35.2694189140994,39.247468645911,43.069267918306,46.5939932028715,49.9242594490365,52.8742226052386,55.3050078549477,57.1785688842225,58.5685098771791,59.4736923636212,60.1043728911695,60.4567845855886,60.5276256992735,60.347245688254,59.941171871527,59.3353482931231,58.5464092112544,57.5942294787055,
OECD Env-Growth,SSP1,AFG,Population,million,31.412,35.352,39.535,43.719,47.674,51.489,55.001,58.082,60.68,62.846,64.557,65.929,66.94,67.569,67.824,67.715,67.261,66.475,65.377,
OECD Env-Growth,SSP2,AFG,Population,million,31.412,35.754,40.602,45.942,51.689,57.639,63.599,69.469,75.162,80.643,85.822,90.688,95.121,99.193,102.899,106.176,108.98,111.263,113.086,
OECD Env-Growth,SSP3,AFG,Population,million,31.412,36.104,41.886,48.674,56.29,64.322,72.827,81.918,91.579,101.424,111.268,121.021,130.67,140.241,149.558,158.566,167.054,174.906,181.926,
OECD Env-Growth,SSP4,AFG,Population,million,31.412,36.022,41.6,48.011,55.153,62.642,70.545,78.954,87.831,96.795,105.685,114.52,123.324,132.126,140.76,149.175,157.181,164.686,171.515,
OECD Env-Growth,SSP5,AFG,Population,million,31.412,35.269,39.247,43.069,46.594,49.924,52.874,55.305,57.179,58.569,59.474,60.104,60.457,60.528,60.347,59.941,59.335,58.546,57.594,
IIASA GDP,SSP1,AGO,Population,million,19.081912,21.7758549658238,24.5830745417704,27.31538993721,29.8512502464859,32.2695745901673,34.5065666567092,36.5109109730217,38.246952296476,39.7331996702425,40.9702355027931,41.9538848381931,42.6711111218906,43.1175589379324,43.2964704628653,43.216255439177,42.8853436699932,42.3160159868817,41.5357632661215,
IIASA GDP,SSP2,AGO,Population,million,19.081912,22.0126917654379,25.2391584927911,28.5612402963393,31.8551573927168,35.044778467031,38.1637978810336,41.1450348060188,43.9761559431368,46.5459698521416,48.8558704015199,50.8673212996863,52.5978058523399,53.9966341725495,55.1417702720401,56.0296317006299,56.5982334678627,56.8808470901407,56.8919203772456,
IIASA GDP,SSP3,AGO,Population,million,19.081912,22.0416910413521,25.4916345272228,29.3311031944676,33.3568273504494,37.3494106566872,41.3368213918369,45.4133538354896,49.5227503882516,53.4965096605441,57.2503118931247,60.7667781711056,64.0691180476272,67.1895964177005,70.1163552062185,72.8642121460033,75.2597395561249,77.4648001167043,79.305096249039,
IIASA GDP,SSP4,AGO,Population,million,19.081912,22.0745164900373,25.5876917763707,29.5137482134968,33.6263337748666,37.6956633523839,41.7520117111945,45.8902732626827,50.0510229227694,54.0635973214241,57.8414959088377,61.361262467788,64.6451467655523,67.7247221107964,70.5864040124726,73.2429187629873,75.5169213794484,77.5685765119045,79.2217085097728,
IIASA GDP,SSP5,AGO,Population,million,19.081912,21.7919448797317,24.6348163467342,27.4219934530585,30.0139475610561,32.4887573736562,34.7845282651982,36.8500432608577,38.6461736250381,40.1877987118369,41.4738953759213,42.4972390610084,43.2448567669846,43.7122477082383,43.9025247919352,43.8245280419745,43.4875642390343,42.9049373734465,42.105048556445,
IIASA-WiC POP,SSP1,AGO,Population,million,19.081912,21.7758549658238,24.5830745417704,27.31538993721,29.8512502464859,32.2695745901673,34.5065666567092,36.5109109730217,38.246952296476,39.7331996702425,40.9702355027931,41.9538848381931,42.6711111218906,43.1175589379324,43.2964704628653,43.216255439177,42.8853436699932,42.3160159868817,41.5357632661215,
IIASA-WiC POP,SSP2,AGO,Population,million,19.081912,22.0126917654379,25.2391584927911,28.5612402963393,31.8551573927168,35.044778467031,38.1637978810336,41.1450348060188,43.9761559431368,46.5459698521416,48.8558704015199,50.8673212996863,52.5978058523399,53.9966341725495,55.1417702720401,56.0296317006299,56.5982334678627,56.8808470901407,56.8919203772456,
IIASA-WiC POP,SSP3,AGO,Population,million,19.081912,22.0416910413521,25.4916345272228,29.3311031944676,33.3568273504494,37.3494106566872,41.3368213918369,45.4133538354896,49.5227503882516,53.4965096605441,57.2503118931247,60.7667781711056,64.0691180476272,67.1895964177005,70.1163552062185,72.8642121460033,75.2597395561249,77.4648001167043,79.305096249039,
IIASA-WiC POP,SSP4,AGO,Population,million,19.081912,22.0745164900373,25.5876917763707,29.5137482134968,33.6263337748666,37.6956633523839,41.7520117111945,45.8902732626827,50.0510229227694,54.0635973214241,57.8414959088377,61.361262467788,64.6451467655523,67.7247221107964,70.5864040124726,73.2429187629873,75.5169213794484,77.5685765119045,79.2217085097728,
IIASA-WiC POP,SSP5,AGO,Population,million,19.081912,21.7919448797317,24.6348163467342,27.4219934530585,30.0139475610561,32.4887573736562,34.7845282651982,36.8500432608577,38.6461736250381,40.1877987118369,41.4738953759213,42.4972390610084,43.2448567669846,43.7122477082383,43.9025247919352,43.8245280419745,43.4875642390343,42.9049373734465,42.105048556445,
NCAR,SSP1,AGO,Population,million,19.081912,21.7758549658238,24.5830745417704,27.31538993721,29.8512502464859,32.2695745901673,34.5065666567092,36.5109109730217,38.246952296476,39.7331996702425,40.9702355027931,41.9538848381931,42.6711111218906,43.1175589379324,43.2964704628653,43.216255439177,42.8853436699932,42.3160159868817,41.5357632661215,
NCAR,SSP2,AGO,Population,million,19.081912,22.0126917654379,25.2391584927911,28.5612402963393,31.8551573927168,35.044778467031,38.1637978810336,41.1450348060188,43.9761559431368,46.5459698521416,48.8558704015199,50.8673212996863,52.5978058523399,53.9966341725495,55.1417702720401,56.0296317006299,56.5982334678627,56.8808470901407,56.8919203772456,
NCAR,SSP3,AGO,Population,million,19.081912,22.0416910413521,25.4916345272228,29.3311031944676,33.3568273504494,37.3494106566872,41.3368213918369,45.4133538354896,49.5227503882516,53.4965096605441,57.2503118931247,60.7667781711056,64.0691180476272,67.1895964177005,70.1163552062185,72.8642121460033,75.2597395561249,77.4648001167043,79.305096249039,
NCAR,SSP4,AGO,Population,million,19.081912,22.0745164900373,25.5876917763707,29.5137482134968,33.6263337748666,37.6956633523839,41.7520117111945,45.8902732626827,50.0510229227694,54.0635973214241,57.8414959088377,61.361262467788,64.6451467655523,67.7247221107964,70.5864040124726,73.2429187629873,75.5169213794484,77.5685765119045,79.2217085097728,
NCAR,SSP5,AGO,Population,million,19.081912,21.7919448797317,24.6348163467342,27.4219934530585,30.0139475610561,32.4887573736562,34.7845282651982,36.8500432608577,38.6461736250381,40.1877987118369,41.4738953759213,42.4972390610084,43.2448567669846,43.7122477082383,43.9025247919352,43.8245280419745,43.4875642390343,42.9049373734465,42.105048556445,
OECD Env-Growth,SSP1,AGO,Population,million,19.082,21.776,24.583,27.315,29.851,32.27,34.507,36.511,38.247,39.733,40.97,41.954,42.671,43.118,43.296,43.216,42.885,42.316,41.536,
OECD Env-Growth,SSP2,AGO,Population,million,19.082,22.013,25.239,28.561,31.855,35.045,38.164,41.145,43.976,46.546,48.856,50.867,52.598,53.997,55.142,56.03,56.598,56.881,56.892,
OECD Env-Growth,SSP3,AGO,Population,million,19.082,22.042,25.492,29.331,33.357,37.349,41.337,45.413,49.523,53.497,57.25,60.767,64.069,67.19,70.116,72.864,75.26,77.465,79.305,
OECD Env-Growth,SSP4,AGO,Population,million,19.082,22.075,25.588,29.514,33.626,37.696,41.752,45.89,50.051,54.064,57.841,61.361,64.645,67.725,70.586,73.243,75.517,77.569,79.222,
OECD Env-Growth,SSP5,AGO,Population,million,19.082,21.792,24.635,27.422,30.014,32.489,34.785,36.85,38.646,40.188,41.474,42.497,43.245,43.712,43.903,43.825,43.488,42.905,42.105,
IIASA GDP,SSP1,ALB,Population,million,3.204284,3.2307946329911,3.24486435608461,3.24378662375637,3.22604690488091,3.19828843660107,3.16116226044433,3.1128439036301,3.05175691947848,2.97972558867522,2.89870326139039,2.80597876559174,2.70292987558229,2.58922018500577,2.45918172369804,2.30984287470241,2.14824594478521,1.98269878224195,1.80955263312136,
IIASA GDP,SSP2,ALB,Population,million,3.204284,3.23985574982168,3.27074211985599,3.29235886270843,3.30056423794375,3.29420338316401,3.27440667176765,3.24295194243693,3.20149496587366,3.15181375369591,3.09500948313396,3.02509805635061,2.94164751913499,2.84594396752895,2.74143971333152,2.63244985317656,2.52371544404895,2.4183819179602,2.31851983195136,
IIASA GDP,SSP3,ALB,Population,million,3.204284,3.26183031148627,3.33676244551326,3.41627884899607,3.48407639574871,3.52813816773979,3.5521321782763,3.56618362947278,3.57937005632313,3.59158369575638,3.59876870151689,3.5927685070209,3.57390188298204,3.54925638316732,3.52788601831831,3.51542646176651,3.51272559106823,3.51892803748387,3.53294521006347,
IIASA GDP,SSP4,ALB,Population,million,3.204284,3.2319918784724,3.24828407501724,3.24714121897904,3.22517110628083,3.18926701806263,3.14077548549812,3.07901662951366,3.00416777747963,2.91895878362515,2.82434106736367,2.71566983930892,2.5931988387627,2.4581575819627,2.31407213613562,2.16592982218071,2.0192073619872,1.87745139607383,1.74272424165525,
IIASA GDP,SSP5,ALB,Population,million,3.204284,3.22109799684206,3.21625654687398,3.189150731093,3.14771152823207,3.10162941812426,3.05301512785017,2.9985954545786,2.93468988613817,2.86123827926185,2.77950705999326,2.68484776097985,2.57950459228071,2.46403403690151,2.33354537959014,2.18566741509642,2.02763294308829,1.86738942370017,1.70098535978606,
IIASA-WiC POP,SSP1,ALB,Population,million,3.204284,3.2307946329911,3.24486435608461,3.24378662375637,3.22604690488091,3.19828843660107,3.16116226044433,3.1128439036301,3.05175691947848,2.97972558867522,2.89870326139039,2.80597876559174,2.70292987558229,2.58922018500577,2.45918172369804,2.30984287470241,2.14824594478521,1.98269878224195,1.80955263312136,
IIASA-WiC POP,SSP2,ALB,Population,million,3.204284,3.23985574982168,3.27074211985599,3.29235886270843,3.30056423794375,3.29420338316401,3.27440667176765,3.24295194243693,3.20149496587366,3.15181375369591,3.09500948313396,3.02509805635061,2.94164751913499,2.84594396752895,2.74143971333152,2.63244985317656,2.52371544404895,2.4183819179602,2.31851983195136,
IIASA-WiC POP,SSP3,ALB,Population,million,3.204284,3.26183031148627,3.33676244551326,3.41627884899607,3.48407639574871,3.52813816773979,3.5521321782763,3.56618362947278,3.57937005632313,3.59158369575638,3.59876870151689,3.5927685070209,3.57390188298204,3.54925638316732,3.52788601831831,3.51542646176651,3.51272559106823,3.51892803748387,3.53294521006347,
IIASA-WiC POP,SSP4,ALB,Population,million,3.204284,3.2319918784724,3.24828407501724,3.24714121897904,3.22517110628083,3.18926701806263,3.14077548549812,3.07901662951366,3.00416777747963,2.91895878362515,2.82434106736367,2.71566983930892,2.5931988387627,2.4581575819627,2.31407213613562,2.16592982218071,2.0192073619872,1.87745139607383,1.74272424165525,
IIASA-WiC POP,SSP5,ALB,Population,million,3.204284,3.22109799684206,3.21625654687398,3.189150731093,3.14771152823207,3.10162941812426,3.05301512785017,2.9985954545786,2.93468988613817,2.86123827926185,2.77950705999326,2.68484776097985,2.57950459228071,2.46403403690151,2.33354537959014,2.18566741509642,2.02763294308829,1.86738942370017,1.70098535978606,
NCAR,SSP1,ALB,Population,million,3.204284,3.2307946329911,3.24486435608461,3.24378662375637,3.22604690488091,3.19828843660107,3.16116226044433,3.1128439036301,3.05175691947848,2.97972558867522,2.89870326139039,2.80597876559174,2.70292987558229,2.58922018500577,2.45918172369804,2.30984287470241,2.14824594478521,1.98269878224195,1.80955263312136,
NCAR,SSP2,ALB,Population,million,3.204284,3.23985574982168,3.27074211985599,3.29235886270843,3.30056423794375,3.29420338316401,3.27440667176765,3.24295194243693,3.20149496587366,3.15181375369591,3.09500948313396,3.02509805635061,2.94164751913499,2.84594396752895,2.74143971333152,2.63244985317656,2.52371544404895,2.4183819179602,2.31851983195136,
NCAR,SSP3,ALB,Population,million,3.204284,3.26183031148627,3.33676244551326,3.41627884899607,3.48407639574871,3.52813816773979,3.5521321782763,3.56618362947278,3.57937005632313,3.59158369575638,3.59876870151689,3.5927685070209,3.57390188298204,3.54925638316732,3.52788601831831,3.51542646176651,3.51272559106823,3.51892803748387,3.53294521006347,
NCAR,SSP4,ALB,Population,million,3.204284,3.2319918784724,3.24828407501724,3.24714121897904,3.22517110628083,3.18926701806263,3.14077548549812,3.07901662951366,3.00416777747963,2.91895878362515,2.82434106736367,2.71566983930892,2.5931988387627,2.4581575819627,2.31407213613562,2.16592982218071,2.0192073619872,1.87745139607383,1.74272424165525,
NCAR,SSP5,ALB,Population,million,3.204284,3.22109799684206,3.21625654687398,3.189150731093,3.14771152823207,3.10162941812426,3.05301512785017,2.9985954545786,2.93468988613817,2.86123827926185,2.77950705999326,2.68484776097985,2.57950459228071,2.46403403690151,2.33354537959014,2.18566741509642,2.02763294308829,1.86738942370017,1.70098535978606,
OECD Env-Growth,SSP1,ALB,Population,million,3.204,3.231,3.245,3.244,3.226,3.198,3.161,3.113,3.052,2.98,2.899,2.806,2.703,2.589,2.459,2.31,2.148,1.983,1.81,
OECD Env-Growth,SSP2,ALB,Population,million,3.204,3.24,3.271,3.292,3.301,3.294,3.274,3.243,3.201,3.152,3.095,3.025,2.942,2.846,2.741,2.632,2.524,2.418,2.319,
OECD Env-Growth,SSP3,ALB,Population,million,3.204,3.262,3.337,3.416,3.484,3.528,3.552,3.566,3.579,3.592,3.599,3.593,3.574,3.549,3.528,3.515,3.513,3.519,3.533,
OECD Env-Growth,SSP4,ALB,Population,million,3.204,3.232,3.248,3.247,3.225,3.189,3.141,3.079,3.004,2.919,2.824,2.716,2.593,2.458,2.314,2.166,2.019,1.877,1.743,
OECD Env-Growth,SSP5,ALB,Population,million,3.204,3.221,3.216,3.189,3.148,3.102,3.053,2.999,2.935,2.861,2.78,2.685,2.58,2.464,2.334,2.186,2.028,1.867,1.701,
IIASA GDP,SSP1,ARE,Population,million,7.51169,9.71486239289442,10.9485099014372,12.0575949151037,13.0587764140285,13.9840827632653,14.7982536165345,15.4566620106419,15.9354222210434,16.2388178770561,16.3892884709174,16.3477860558259,16.1129514661913,15.7034340571532,15.161807980814,14.5321268982911,13.8437918708744,13.0928929071798,12.2422888928515,
IIASA GDP,SSP2,ARE,Population,million,7.51169,9.74275773092062,11.0428715613649,12.2443084085712,13.3585317502815,14.399168393541,15.357001924181,16.199603156567,16.9151511593867,17.5009398797071,17.9630789304366,18.2298140156803,18.2988857488459,18.1970646397244,17.9695213009443,17.6571391301453,17.2817605223667,16.8420978391664,16.3268989404678,
IIASA GDP,SSP3,ARE,Population,million,7.51169,9.47709550346871,10.5501774968038,11.3990542102002,12.165554975754,12.8560397798205,13.4881830318505,14.0525889856824,14.5349485261588,14.9342932886378,15.27394178696,15.5289979371634,15.734564584148,15.9263567144214,16.1220871697194,16.3136216210291,16.4697784846568,16.550679764283,16.5306954390433,
IIASA GDP,SSP4,ARE,Population,million,7.51169,9.72589377873605,10.9852617967111,12.1210650515794,13.1401314453934,14.0699386088212,14.8931028251925,15.5836408913306,16.1185108664919,16.499431939402,16.7379149075694,16.769474214257,16.5992714817945,16.2573838405134,15.7913000819015,15.2428495925463,14.6343415174204,13.9657797246454,13.2287519654801,
IIASA GDP,SSP5,ARE,Population,million,7.51169,10.0155593739632,11.5382165111679,13.0569305729383,14.4580535719116,15.7747488252261,16.9496893096361,17.9130302265869,18.6424184793426,19.1575871928216,19.4974248428002,19.6079146436142,19.4769079720232,19.1190043475528,18.5812405233743,17.9122483020745,17.1438279838664,16.2644945261442,15.2270508836515,
IIASA-WiC POP,SSP1,ARE,Population,million,7.51169,9.71486239289442,10.9485099014372,12.0575949151037,13.0587764140285,13.9840827632653,14.7982536165345,15.4566620106419,15.9354222210434,16.2388178770561,16.3892884709174,16.3477860558259,16.1129514661913,15.7034340571532,15.161807980814,14.5321268982911,13.8437918708744,13.0928929071798,12.2422888928515,
IIASA-WiC POP,SSP2,ARE,Population,million,7.51169,9.74275773092062,11.0428715613649,12.2443084085712,13.3585317502815,14.399168393541,15.357001924181,16.199603156567,16.9151511593867,17.5009398797071,17.9630789304366,18.2298140156803,18.2988857488459,18.1970646397244,17.9695213009443,17.6571391301453,17.2817605223667,16.8420978391664,16.3268989404678,
IIASA-WiC POP,SSP3,ARE,Population,million,7.51169,9.47709550346871,10.5501774968038,11.3990542102002,12.165554975754,12.8560397798205,13.4881830318505,14.0525889856824,14.5349485261588,14.9342932886378,15.27394178696,15.5289979371634,15.734564584148,15.9263567144214,16.1220871697194,16.3136216210291,16.4697784846568,16.550679764283,16.5306954390433,
IIASA-WiC POP,SSP4,ARE,Population,million,7.51169,9.72589377873605,10.9852617967111,12.1210650515794,13.1401314453934,14.0699386088212,14.8931028251925,15.5836408913306,16.1185108664919,16.499431939402,16.7379149075694,16.769474214257,16.5992714817945,16.2573838405134,15.7913000819015,15.2428495925463,14.6343415174204,13.9657797246454,13.2287519654801,
IIASA-WiC POP,SSP5,ARE,Population,million,7.51169,10.0155593739632,11.5382165111679,13.0569305729383,14.4580535719116,15.7747488252261,16.9496893096361,17.9130302265869,18.6424184793426,19.1575871928216,19.4974248428002,19.6079146436142,19.4769079720232,19.1190043475528,18.5812405233743,17.9122483020745,17.1438279838664,16.2644945261442,15.2270508836515,
NCAR,SSP1,ARE,Population,million,7.51169,9.71486239289442,10.9485099014372,12.0575949151037,13.0587764140285,13.9840827632653,14.7982536165345,15.4566620106419,15.9354222210434,16.2388178770561,16.3892884709174,16.3477860558259,16.1129514661913,15.7034340571532,15.161807980814,14.5321268982911,13.8437918708744,13.0928929071798,12.2422888928515,
NCAR,SSP2,ARE,Population,million,7.51169,9.74275773092062,11.0428715613649,12.2443084085712,13.3585317502815,14.399168393541,15.357001924181,16.199603156567,16.9151511593867,17.5009398797071,17.9630789304366,18.2298140156803,18.2988857488459,18.1970646397244,17.9695213009443,17.6571391301453,17.2817605223667,16.8420978391664,16.3268989404678,
NCAR,SSP3,ARE,Population,million,7.51169,9.47709550346871,10.5501774968038,11.3990542102002,12.165554975754,12.8560397798205,13.4881830318505,14.0525889856824,14.5349485261588,14.9342932886378,15.27394178696,15.5289979371634,15.734564584148,15.9263567144214,16.1220871697194,16.3136216210291,16.4697784846568,16.550679764283,16.5306954390433,
NCAR,SSP4,ARE,Population,million,7.51169,9.72589377873605,10.9852617967111,12.1210650515794,13.1401314453934,14.0699386088212,14.8931028251925,15.5836408913306,16.1185108664919,16.499431939402,16.7379149075694,16.769474214257,16.5992714817945,16.2573838405134,15.7913000819015,15.2428495925463,14.6343415174204,13.9657797246454,13.2287519654801,
