Model,Scenario (History),Region,Variable,Unit,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2008,2010
History,World Bank (WDI),ARE,Population,million,0.089871,0.146387,0.231754,0.533554,1.016228,1.349,1.808642,2.348539,3.033491,4.069349,6.206623,7.51169
History,WPP2010,ARG,Population,million,20.625451,22.296628,23.983358,26.078731,28.13104,30.35424,32.642442,34.85516,36.930709,38.681174,39.714298,40.412376
History,WUP2009,ARG,Population,million,20.625451,22.296628,23.983358,26.078731,28.13104,30.35424,32.642442,34.85516,36.930709,38.681174,,40.412376
History,World Bank (WDI),ARG,Population,million,20.625451,22.296628,23.983358,26.078731,28.13104,30.35424,32.642442,34.85516,36.930709,38.681174,39.714298,40.412376
History,WPP2010,ARM,Population,million,1.867396,2.20465,2.518408,2.82565,3.096298,3.339147,3.544695,3.223173,3.076098,3.065954,3.079087,3.092072
History,WUP2009,ARM,Population,million,1.867396,2.20465,2.518408,2.82565,3.096298,3.339147,3.544695,3.223173,3.076098,3.065954,,3.092072
History,World Bank (WDI),ARM,Population,million,1.867396,2.20465,2.518408,2.82565,3.096298,3.339147,3.544695,3.223173,3.076098,3.065954,3.079087,3.092072
History,WPP2010,ASM,Population,million,0.020041,0.02348,0.027288,0.029897,0.032526,0.039253,0.047052,0.052919,0.057625,0.062962,0.066217,0.06842
History,WUP2009,ASM,Population,million,0.020041,0.02348,0.027288,0.029897,0.032526,0.039253,0.047052,0.052919,0.057625,0.062962,,0.06842
History,World Bank (WDI),ASM,Population,million,0.020041,0.02348,0.027288,0.029897,0.032526,0.039253,0.047052,0.052919,0.057625,0.062962,0.066217,0.06842
History,WPP2010,ATG,Population,million,0.054657,0.059844,0.065587,0.06942,0.070228,0.065614,0.062202,0.068642,0.077656,0.083916,0.086881,0.08871
History,WUP2009,ATG,Population,million,0.054657,0.059844,0.065587,0.06942,0.070228,0.065614,0.062202,0.068642,0.077656,0.083916,,0.08871
History,World Bank (WDI),ATG,Population,million,0.054657,0.059844,0.065587,0.06942,0.070228,0.065614,0.062202,0.068642,0.077656,0.083916,0.086881,0.08871
History,WPP2010,AUS,Population,million,10.286184,11.359763,12.728362,13.889696,14.709918,15.812088,17.096153,18.118416,19.164351,20.40352,21.513817,22.268384
History,WUP2009,AUS,Population,million,10.286184,11.359763,12.728362,13.889696,14.709918,15.812088,17.096153,18.118416,19.164351,20.40352,,22.268384
History,World Bank (WDI),AUS,Population,million,10.286184,11.359763,12.728362,13.889696,14.709918,15.812088,17.096153,18.118416,19.164351,20.40352,21.513817,22.268384
History,WPP2010,AUT,Population,million,7.042634,7.268015,7.465908,7.578498,7.548798,7.559621,7.670513,7.935624,8.004712,8.232196,8.341806,8.393644
History,WUP2009,AUT,Population,million,7.042634,7.268015,7.465908,7.578498,7.548798,7.559621,7.670513,7.935624,8.004712,8.232196,,8.393644
History,World Bank (WDI),AUT,Population,million,7.042634,7.268015,7.465908,7.578498,7.548798,7.559621,7.670513,7.935624,8.004712,8.232196,8.341806,8.393644
History,WPP2010,AZE,Population,million,3.894494,4.5745,5.172002,5.688997,6.160502,6.670151,7.211692,7.764798,8.110723,8.587902,8.9436,9.187783
History,WUP2009,AZE,Population,million,3.894494,4.5745,5.172002,5.688997,6.160502,6.670151,7.211692,7.764798,8.110723,8.587902,,9.187783
History,World Bank (WDI),AZE,Population,million,3.894494,4.5745,5.172002,5.688997,6.160502,6.670151,7.211692,7.764798,8.110723,8.587902,8.9436,9.187783
History,WPP2010,BDI,Population,million,2.940498,3.212864,3.513499,3.680401,4.129997,4.850597,5.60172,6.086751,6.374347,7.251424,7.943385,8.382849
History,WUP2009,BDI,Population,million,2.940498,3.212864,3.513499,3.680401,4.129997,4.850597,5.60172,6.086751,6.374347,7.251424,,8.382849
History,World Bank (WDI),BDI,Population,million,2.940498,3.212864,3.513499,3.680401,4.129997,4.850597,5.60172,6.086751,6.374347,7.251424,7.943385,8.382849
History,WPP2010,BEL,Population,million,9.152271,9.435244,9.624908,9.787677,9.847297,9.840123,9.949019,10.079873,10.175684,10.414209,10.602167,10.712066
History,WUP2009,BEL,Population,million,9.152271,9.435244,9.624908,9.787677,9.847297,9.840123,9.949019,10.079873,10.175684,10.414209,,10.712066
History,World Bank (WDI),BEL,Population,million,9.152271,9.435244,9.624908,9.787677,9.847297,9.840123,9.949019,10.079873,10.175684,10.414209,10.602167,10.712066
History,WPP2010,BEN,Population,million,2.419644,2.60249,2.849508,3.18213,3.610578,4.140176,4.773137,5.651141,6.51781,7.633757,8.35598,8.849892
History,WUP2009,BEN,Population,million,2.419644,2.60249,2.849508,3.18213,3.610578,4.140176,4.773137,5.651141,6.51781,7.633757,,8.849892
History,World Bank (WDI),BEN,Population,million,2.419644,2.60249,2.849508,3.18213,3.610578,4.140176,4.773137,5.651141,6.51781,7.633757,8.35598,8.849892
History,WPP2010,BFA,Population,million,4.881947,5.284154,5.807492,6.435274,7.212088,8.169792,9.323996,10.692138,12.294012,14.198463,15.515258,16.468714
History,WUP2009,BFA,Population,million,4.881947,5.284154,5.807492,6.435274,7.212088,8.169792,9.323996,10.692138,12.294012,14.198463,,16.468714
History,World Bank (WDI),BFA,Population,million,4.881947,5.284154,5.807492,6.435274,7.212088,8.169792,9.323996,10.692138,12.294012,14.198463,15.515258,16.468714
History,WPP2010,BGD,Population,million,50.101943,57.791778,66.881158,70.582168,80.624423,92.283598,105.256026,117.486952,129.592275,140.587922,145.4783,148.692131
History,WUP2009,BGD,Population,million,50.101943,57.791778,66.881158,70.582168,80.624423,92.283598,105.256026,117.486952,129.592275,140.587922,,148.692131
History,World Bank (WDI),BGD,Population,million,50.101943,57.791778,66.881158,70.582168,80.624423,92.283598,105.256026,117.486952,129.592275,140.587922,145.4783,148.692131
History,WPP2010,BGR,Population,million,7.867008,8.204095,8.489572,8.720706,8.861536,8.960417,8.818915,8.356624,8.006158,7.739115,7.591322,7.494332
History,WUP2009,BGR,Population,million,7.867008,8.204095,8.489572,8.720706,8.861536,8.960417,8.818915,8.356624,8.006158,7.739115,,7.494332
History,World Bank (WDI),BGR,Population,million,7.867008,8.204095,8.489572,8.720706,8.861536,8.960417,8.818915,8.356624,8.006158,7.739115,7.591322,7.494332
History,WPP2010,BHR,Population,million,0.161825,0.186351,0.211878,0.26516,0.357957,0.416929,0.492891,0.559069,0.638193,0.724807,1.052359,1.261835
History,WUP2009,BHR,Population,million,0.161825,0.186351,0.211878,0.26516,0.357957,0.416929,0.492891,0.559069,0.638193,0.724807,,1.261835
History,World Bank (WDI),BHR,Population,million,0.161825,0.186351,0.211878,0.26516,0.357957,0.416929,0.492891,0.559069,0.638193,0.724807,1.052359,1.261835
History,WPP2010,BHS,Population,million,0.109527,0.140063,0.169367,0.18887,0.2106,0.234553,0.256128,0.279774,0.297651,0.319358,0.333661,0.342877
History,WUP2009,BHS,Population,million,0.109527,0.140063,0.169367,0.18887,0.2106,0.234553,0.256128,0.279774,0.297651,0.319358,,0.342877
History,World Bank (WDI),BHS,Population,million,0.109527,0.140063,0.169367,0.18887,0.2106,0.234553,0.256128,0.279774,0.297651,0.319358,0.333661,0.342877
History,WPP2010,BIH,Population,million,3.18002,3.396402,3.564389,3.747109,3.913536,4.121595,4.308197,3.332098,3.693698,3.781001,3.774164,3.760149
History,WUP2009,BIH,Population,million,3.18002,3.396402,3.564389,3.747109,3.913536,4.121595,4.308197,3.332098,3.693698,3.781001,,3.760149
History,World Bank (WDI),BIH,Population,million,3.18002,3.396402,3.564389,3.747109,3.913536,4.121595,4.308197,3.332098,3.693698,3.781001,3.774164,3.760149
History,WPP2010,BLR,Population,million,8.190006,8.607003,9.039503,9.367004,9.6585,9.998503,10.2597,10.274231,10.05781,9.825102,9.68069,9.595421
History,WUP2009,BLR,Population,million,8.190006,8.607003,9.039503,9.367004,9.6585,9.998503,10.2597,10.274231,10.05781,9.825102,,9.595421
History,World Bank (WDI),BLR,Population,million,8.190006,8.607003,9.039503,9.367004,9.6585,9.998503,10.2597,10.274231,10.05781,9.825102,9.68069,9.595421
History,WPP2010,BLZ,Population,million,0.092633,0.106546,0.122336,0.133562,0.143829,0.165792,0.190241,0.220311,0.250512,0.280947,0.299237,0.311627
History,WUP2009,BLZ,Population,million,0.092633,0.106546,0.122336,0.133562,0.143829,0.165792,0.190241,0.220311,0.250512,0.280947,,0.311627
History,World Bank (WDI),BLZ,Population,million,0.092633,0.106546,0.122336,0.133562,0.143829,0.165792,0.190241,0.220311,0.250512,0.280947,0.299237,0.311627
History,WPP2010,BMU,Population,million,0.044713,0.048839,0.051765,0.054278,0.056064,0.057812,0.059795,0.061405,0.062834,0.06413,0.064657,0.064941
History,WUP2009,BMU,Population,million,0.044713,0.048839,0.051765,0.054278,0.056064,0.057812,0.059795,0.061405,0.062834,0.06413,,0.064941
History,World Bank (WDI),BMU,Population,million,0.044713,0.048839,0.051765,0.054278,0.056064,0.057812,0.059795,0.061405,0.062834,0.06413,0.064657,0.064941
History,WPP2010,BOL,Population,million,3.354895,3.752892,4.216572,4.761344,5.352649,5.957291,6.658462,7.470925,8.307248,9.146655,9.618466,9.929849
History,WUP2009,BOL,Population,million,3.354895,3.752892,4.216572,4.761344,5.352649,5.957291,6.658462,7.470925,8.307248,9.146655,,9.929849
History,World Bank (WDI),BOL,Population,million,3.354895,3.752892,4.216572,4.761344,5.352649,5.957291,6.658462,7.470925,8.307248,9.146655,9.618466,9.929849
History,WPP2010,BRA,Population,million,72.758801,84.388983,96.078304,108.22408,121.711864,136.246764,149.650206,161.848162,174.425387,185.986964,191.543237,194.94647
History,WUP2009,BRA,Population,million,72.758801,84.388983,96.078304,108.22408,121.711864,136.246764,149.650206,161.848162,174.425387,185.986964,,194.94647
History,World Bank (WDI),BRA,Population,million,72.758801,84.388983,96.078304,108.22408,121.711864,136.246764,149.650206,161.848162,174.425387,185.986964,191.543237,194.94647
History,WPP2010,BRB,Population,million,0.230831,0.235271,0.238593,0.245646,0.248796,0.254419,0.259501,0.263416,0.267511,0.270503,0.27218,0.273331
History,WUP2009,BRB,Population,million,0.230831,0.235271,0.238593,0.245646,0.248796,0.254419,0.259501,0.263416,0.267511,0.270503,,0.273331
History,World Bank (WDI),BRB,Population,million,0.230831,0.235271,0.238593,0.245646,0.248796,0.254419,0.259501,0.263416,0.267511,0.270503,0.27218,0.273331
History,WPP2010,BRN,Population,million,0.079846,0.099536,0.125088,0.156595,0.1893,0.21905,0.252125,0.289614,0.327036,0.363123,0.384695,0.39892
History,WUP2009,BRN,Population,million,0.079846,0.099536,0.125088,0.156595,0.1893,0.21905,0.252125,0.289614,0.327036,0.363123,,0.39892
History,World Bank (WDI),BRN,Population,million,0.079846,0.099536,0.125088,0.156595,0.1893,0.21905,0.252125,0.289614,0.327036,0.363123,0.384695,0.39892
History,WPP2010,BTN,Population,million,0.225993,0.258559,0.301879,0.363603,0.430633,0.490438,0.5585,0.518584,0.571262,0.659293,0.701363,0.72594
History,WUP2009,BTN,Population,million,0.225993,0.258559,0.301879,0.363603,0.430633,0.490438,0.5585,0.518584,0.571262,0.659293,,0.72594
History,World Bank (WDI),BTN,Population,million,0.225993,0.258559,0.301879,0.363603,0.430633,0.490438,0.5585,0.518584,0.571262,0.659293,0.701363,0.72594
History,WPP2010,BWA,Population,million,0.523997,0.595697,0.692959,0.821942,0.996211,1.182803,1.382371,1.585637,1.757925,1.875673,1.954822,2.006945
History,WUP2009,BWA,Population,million,0.523997,0.595697,0.692959,0.821942,0.996211,1.182803,1.382371,1.585637,1.757925,1.875673,,2.006945
History,World Bank (WDI),BWA,Population,million,0.523997,0.595697,0.692959,0.821942,0.996211,1.182803,1.382371,1.585637,1.757925,1.875673,1.954822,2.006945
History,WPP2010,CAF,Population,million,1.503509,1.648838,1.828709,2.017362,2.27363,2.626638,2.934777,3.32771,3.701607,4.01788,4.237961,4.401051
History,WUP2009,CAF,Population,million,1.503509,1.648838,1.828709,2.017362,2.27363,2.626638,2.934777,3.32771,3.701607,4.01788,,4.401051
History,World Bank (WDI),CAF,Population,million,1.503509,1.648838,1.828709,2.017362,2.27363,2.626638,2.934777,3.32771,3.701607,4.01788,4.237961,4.401051
History,WPP2010,CAN,Population,million,17.909009,19.678005,21.716855,23.142272,24.516277,25.842588,27.700854,29.302092,30.667365,32.283413,33.327954,34.016593
History,WUP2009,CAN,Population,million,17.909009,19.678005,21.716855,23.142272,24.516277,25.842588,27.700854,29.302092,30.667365,32.283413,,34.016593
History,World Bank (WDI),CAN,Population,million,17.909009,19.678005,21.716855,23.142272,24.516277,25.842588,27.700854,29.302092,30.667365,32.283413,33.327954,34.016593
History,WPP2010,CHE,Population,million,5.296052,5.829839,6.169124,6.355947,6.303346,6.455375,6.673738,7.018702,7.167908,7.415007,7.573204,7.664318
History,WUP2009,CHE,Population,million,5.296052,5.829839,6.169124,6.355947,6.303346,6.455375,6.673738,7.018702,7.167908,7.415007,,7.664318
History,World Bank (WDI),CHE,Population,million,5.296052,5.829839,6.169124,6.355947,6.303346,6.455375,6.673738,7.018702,7.167908,7.415007,7.573204,7.664318
History,WPP2010,CHL,Population,million,7.651579,8.655738,9.577572,10.41888,11.178817,12.107225,13.187821,14.409416,15.41982,16.301726,16.795593,17.113688
History,WUP2009,CHL,Population,million,7.651579,8.655738,9.577572,10.41888,11.178817,12.107225,13.187821,14.409416,15.41982,16.301726,,17.113688
History,World Bank (WDI),CHL,Population,million,7.651579,8.655738,9.577572,10.41888,11.178817,12.107225,13.187821,14.409416,15.41982,16.301726,16.795593,17.113688
History,WPP2010,CHN,Population,million,658.270094,710.290299,814.622841,915.040954,983.170638,1056.579219,1145.195229,1213.98661,1269.116737,1307.593489,1328.275524,1341.335152
History,WUP2009,CHN,Population,million,658.270094,710.290299,814.622841,915.040954,983.170638,1056.579219,1145.195229,1213.98661,1269.116737,1307.593489,,1341.335152
History,World Bank (WDI),CHN,Population,million,658.270094,710.290299,814.622841,915.040954,983.170638,1056.579219,1145.195229,1213.98661,1269.116737,1307.593489,1328.275524,1341.335152
History,WPP2010,CIV,Population,million,3.638385,4.423736,5.416416,6.768313,8.500985,10.494827,12.51773,14.6772,16.581653,18.020946,18.987007,19.7378
History,WUP2009,CIV,Population,million,3.638385,4.423736,5.416416,6.768313,8.500985,10.494827,12.51773,14.6772,16.581653,18.020946,,19.7378
History,World Bank (WDI),CIV,Population,million,3.638385,4.423736,5.416416,6.768313,8.500985,10.494827,12.51773,14.6772,16.581653,18.020946,18.987007,19.7378
History,WPP2010,CMR,Population,million,5.409083,6.048706,6.841763,7.837926,9.109727,10.518855,12.180819,13.940337,15.678269,17.553589,18.758778,19.598889
History,WUP2009,CMR,Population,million,5.409083,6.048706,6.841763,7.837926,9.109727,10.518855,12.180819,13.940337,15.678269,17.553589,,19.598889
History,World Bank (WDI),CMR,Population,million,5.409083,6.048706,6.841763,7.837926,9.109727,10.518855,12.180819,13.940337,15.678269,17.553589,18.758778,19.598889
History,WPP2010,COD,Population,million,15.367539,17.543319,20.267009,23.316776,27.01869,31.044153,36.406226,44.067369,49.6262,57.420522,62.474901,65.965795
History,WUP2009,COD,Population,million,15.367539,17.543319,20.267009,23.316776,27.01869,31.044153,36.406226,44.067369,49.6262,57.420522,,65.965795
History,World Bank (WDI),COD,Population,million,15.367539,17.543319,20.267009,23.316776,27.01869,31.044153,36.406226,44.067369,49.6262,57.420522,62.474901,65.965795
History,WPP2010,COG,Population,million,1.013581,1.157905,1.335088,1.554793,1.798285,2.081152,2.388902,2.732706,3.135773,3.533177,3.836339,4.042899
History,WUP2009,COG,Population,million,1.013581,1.157905,1.335088,1.554793,1.798285,2.081152,2.388902,2.732706,3.135773,3.533177,,4.042899
History,World Bank (WDI),COG,Population,million,1.013581,1.157905,1.335088,1.554793,1.798285,2.081152,2.388902,2.732706,3.135773,3.533177,3.836339,4.042899
History,WPP2010,COK,Population,million,0.018259,0.01897,0.021406,0.020356,0.017627,0.017725,0.017614,0.018307,0.01783,0.019402,0.020019,0.020288
History,WUP2009,COK,Population,million,0.018259,0.01897,0.021406,0.020356,0.017627,0.017725,0.017614,0.018307,0.01783,0.019402,,0.020288
History,World Bank (WDI),COK,Population,million,0.018259,0.01897,0.021406,0.020356,0.017627,0.017725,0.017614,0.018307,0.01783,0.019402,0.020019,0.020288
History,WPP2010,COL,Population,million,16.004714,18.555731,21.329811,23.960605,26.874906,29.993539,33.203321,36.453337,39.764166,43.040558,45.005782,46.294841
History,WUP2009,COL,Population,million,16.004714,18.555731,21.329811,23.960605,26.874906,29.993539,33.203321,36.453337,39.764166,43.040558,,46.294841
History,World Bank (WDI),COL,Population,million,16.004714,18.555731,21.329811,23.960605,26.874906,29.993539,33.203321,36.453337,39.764166,43.040558,45.005782,46.294841
History,WPP2010,COM,Population,million,0.193052,0.212097,0.238032,0.270467,0.328861,0.38574,0.437876,0.494486,0.562469,0.642974,0.697034,0.73475
History,WUP2009,COM,Population,million,0.193052,0.212097,0.238032,0.270467,0.328861,0.38574,0.437876,0.494486,0.562469,0.642974,,0.73475
History,World Bank (WDI),COM,Population,million,0.193052,0.212097,0.238032,0.270467,0.328861,0.38574,0.437876,0.494486,0.562469,0.642974,0.697034,0.73475
History,WPP2010,CPV,Population,million,0.210933,0.240301,0.274282,0.311349,0.300047,0.328481,0.348165,0.394946,0.437238,0.472883,0.487371,0.495999
History,WUP2009,CPV,Population,million,0.210933,0.240301,0.274282,0.311349,0.300047,0.328481,0.348165,0.394946,0.437238,0.472883,,0.495999
History,World Bank (WDI),CPV,Population,million,0.210933,0.240301,0.274282,0.311349,0.300047,0.328481,0.348165,0.394946,0.437238,0.472883,0.487371,0.495999
History,WPP2010,CRI,Population,million,1.334004,1.582482,1.820379,2.048812,2.343345,2.691778,3.07024,3.468918,3.91918,4.309413,4.522124,4.658887
History,WUP2009,CRI,Population,million,1.334004,1.582482,1.820379,2.048812,2.343345,2.691778,3.07024,3.468918,3.91918,4.309413,,4.658887
History,World Bank (WDI),CRI,Population,million,1.334004,1.582482,1.820379,2.048812,2.343345,2.691778,3.07024,3.468918,3.91918,4.309413,4.522124,4.658887
History,WPP2010,CUB,Population,million,7.133582,7.94184,8.701886,9.420828,9.812223,10.069187,10.570328,10.900795,11.104313,11.254242,11.266905,11.257979
History,WUP2009,CUB,Population,million,7.133582,7.94184,8.701886,9.420828,9.812223,10.069187,10.570328,10.900795,11.104313,11.254242,,11.257979
History,World Bank (WDI),CUB,Population,million,7.133582,7.94184,8.701886,9.420828,9.812223,10.069187,10.570328,10.900795,11.104313,11.254242,11.266905,11.257979
History,WPP2010,CYM,Population,million,0.008092,0.008701,0.009545,0.012764,0.016861,0.020172,0.026048,0.032792,0.040195,0.052268,0.055295,0.05623
History,WUP2009,CYM,Population,million,0.008092,0.008701,0.009545,0.012764,0.016861,0.020172,0.026048,0.032792,0.040195,0.052268,,0.05623
History,World Bank (WDI),CYM,Population,million,0.008092,0.008701,0.009545,0.012764,0.016861,0.020172,0.026048,0.032792,0.040195,0.052268,0.055295,0.05623
History,WPP2010,CYP,Population,million,0.572997,0.581056,0.613735,0.649918,0.68551,0.703752,0.766663,0.855424,0.943294,1.032562,1.077001,1.103647
History,WUP2009,CYP,Population,million,0.572997,0.581056,0.613735,0.649918,0.68551,0.703752,0.766663,0.855424,0.943294,1.032562,,1.103647
History,World Bank (WDI),CYP,Population,million,0.572997,0.581056,0.613735,0.649918,0.68551,0.703752,0.766663,0.855424,0.943294,1.032562,1.077001,1.103647
History,WPP2010,CZE,Population,million,9.521854,9.686318,9.788863,9.993206,10.261606,10.300844,10.302718,10.319337,10.24289,10.220638,10.377359,10.49296
History,WUP2009,CZE,Population,million,9.521854,9.686318,9.788863,9.993206,10.261606,10.300844,10.302718,10.319337,10.24289,10.220638,,10.49296
History,World Bank (WDI),CZE,Population,million,9.521854,9.686318,9.788863,9.993206,10.261606,10.300844,10.302718,10.319337,10.24289,10.220638,10.377359,10.49296
History,WPP2010,DEU,Population,million,72.814899,75.9637,78.169287,78.673559,78.288577,77.684875,79.098094,81.929441,82.349027,82.540739,82.475271,82.302465
History,WUP2009,DEU,Population,million,72.814899,75.9637,78.169287,78.673559,78.288577,77.684875,79.098094,81.929441,82.349027,82.540739,,82.302465
History,World Bank (WDI),DEU,Population,million,72.814899,75.9637,78.169287,78.673559,78.288577,77.684875,79.098094,81.929441,82.349027,82.540739,82.475271,82.302465
History,WPP2010,DJI,Population,million,0.084877,0.116706,0.161622,0.223963,0.340133,0.403221,0.56229,0.626537,0.73193,0.808367,0.855636,0.888716
History,WUP2009,DJI,Population,million,0.084877,0.116706,0.161622,0.223963,0.340133,0.403221,0.56229,0.626537,0.73193,0.808367,,0.888716
History,World Bank (WDI),DJI,Population,million,0.084877,0.116706,0.161622,0.223963,0.340133,0.403221,0.56229,0.626537,0.73193,0.808367,0.855636,0.888716
History,WPP2010,DMA,Population,million,0.060015,0.065037,0.071076,0.072092,0.075312,0.073637,0.070926,0.071364,0.069672,0.068925,0.068159,0.067757
History,WUP2009,DMA,Population,million,0.060015,0.065037,0.071076,0.072092,0.075312,0.073637,0.070926,0.071364,0.069672,0.068925,,0.067757
History,World Bank (WDI),DMA,Population,million,0.060015,0.065037,0.071076,0.072092,0.075312,0.073637,0.070926,0.071364,0.069672,0.068925,0.068159,0.067757
History,WPP2010,DNK,Population,million,4.57977,4.759095,4.928704,5.060227,5.123026,5.113701,5.141034,5.233364,5.339501,5.419444,5.497312,5.550142
History,WUP2009,DNK,Population,million,4.57977,4.759095,4.928704,5.060227,5.123026,5.113701,5.141034,5.233364,5.339501,5.419444,,5.550142
History,World Bank (WDI),DNK,Population,million,4.57977,4.759095,4.928704,5.060227,5.123026,5.113701,5.141034,5.233364,5.339501,5.419444,5.497312,5.550142
History,WPP2010,DOM,Population,million,3.308941,3.893484,4.511577,5.146742,5.794074,6.482152,7.194666,7.916309,8.591967,9.264267,9.664948,9.92732
History,WUP2009,DOM,Population,million,3.308941,3.893484,4.511577,5.146742,5.794074,6.482152,7.194666,7.916309,8.591967,9.264267,,9.92732
History,World Bank (WDI),DOM,Population,million,3.308941,3.893484,4.511577,5.146742,5.794074,6.482152,7.194666,7.916309,8.591967,9.264267,9.664948,9.92732
History,WPP2010,DZA,Population,million,10.799997,11.923002,13.746185,16.018195,18.811199,22.098298,25.299182,28.291591,30.533827,32.888449,34.428028,35.468208
History,WUP2009,DZA,Population,million,10.799997,11.923002,13.746185,16.018195,18.811199,22.098298,25.299182,28.291591,30.533827,32.888449,,35.468208
History,World Bank (WDI),DZA,Population,million,10.799997,11.923002,13.746185,16.018195,18.811199,22.098298,25.299182,28.291591,30.533827,32.888449,34.428028,35.468208
History,WPP2010,ECU,Population,million,4.439206,5.146294,5.972464,6.90774,7.957811,9.090592,10.260587,11.384506,12.345023,13.426402,14.05674,14.464739
History,WUP2009,ECU,Population,million,4.439206,5.146294,5.972464,6.90774,7.957811,9.090592,10.260587,11.384506,12.345023,13.426402,,14.464739
History,World Bank (WDI),ECU,Population,million,4.439206,5.146294,5.972464,6.90774,7.957811,9.090592,10.260587,11.384506,12.345023,13.426402,14.05674,14.464739
History,WPP2010,EGY,Population,million,27.903093,31.771227,35.923283,40.132189,44.952497,50.659625,56.843275,62.06381,67.648419,74.203215,78.323298,81.121077
History,WUP2009,EGY,Population,million,27.903093,31.771227,35.923283,40.132189,44.952497,50.659625,56.843275,62.06381,67.648419,74.203215,,81.121077
History,World Bank (WDI),EGY,Population,million,27.903093,31.771227,35.923283,40.132189,44.952497,50.659625,56.843275,62.06381,67.648419,74.203215,78.323298,81.121077
History,WPP2010,ERI,Population,million,1.423599,1.619301,1.847,2.1154,2.468902,2.806456,3.158295,3.212503,3.667576,4.486155,4.947521,5.253676
History,WUP2009,ERI,Population,million,1.423599,1.619301,1.847,2.1154,2.468902,2.806456,3.158295,3.212503,3.667576,4.486155,,5.253676
History,World Bank (WDI),ERI,Population,million,1.423599,1.619301,1.847,2.1154,2.468902,2.806456,3.158295,3.212503,3.667576,4.486155,4.947521,5.253676
History,WPP2010,ESH,Population,million,0.032806,0.050938,0.076691,0.074789,0.150303,0.18363,0.220794,0.259049,0.31534,0.440469,0.496923,0.5305
History,WUP2009,ESH,Population,million,0.032806,0.050938,0.076691,0.074789,0.150303,0.18363,0.220794,0.259049,0.31534,0.440469,,0.5305
History,World Bank (WDI),ESH,Population,million,0.032806,0.050938,0.076691,0.074789,0.150303,0.18363,0.220794,0.259049,0.31534,0.440469,0.496923,0.5305
History,WPP2010,ESP,Population,million,30.413044,32.108561,33.791761,35.738587,37.495321,38.476148,38.889158,39.426834,40.288457,43.395441,45.146258,46.076989
